name,type,img,description,tier,secondary,burden,primaryAction,additionalActions,intrinsicEffects,DHFeature,range,numtargets,trait,damage,damageType,damageTo,cybermancy-feature-name,cybermancy-feature-effect,critical-effect-name,critical-effect
Throwing Knives,weapon,modules/cybermancy/assets/icons/weapons/throwing-knives.png,Balanced steel blades designed for silent takedowns or distraction in the shadows.,1,FALSE,oneHanded,attack,,,,close,1,agility,d6+1,physical,hitPoints,Quick Draw, May be used as a reaction against melee attackers.,Pinning Strike," Pin targets limb, weapon, or clothing, restricting movement."
Fragmentation Grenade,weapon,modules/cybermancy/assets/icons/weapons/fragmentation-grenade.png,A high-yield fragmentation device scattering lethal shrapnel in every direction.,1,FALSE,oneHanded,attack,,,,far,1,strength,d12,physical,hitPoints,Explosive," On Hope win, half damage to all in Close range.",Shrapnel Storm, All enemies in area take full damage and mark 1 Stress.
EMP Grenade,weapon,modules/cybermancy/assets/icons/weapons/emp-grenade.png,"Pulse emitter that fries circuits, drones, and cyberware with a single electromagnetic burst.",1,FALSE,oneHanded,attack,,,,far,1,knowledge,d8,physical,hitPoints,Disruptive," On hit, drones/tech in range must succeed or shut down 1 round.",Total System Crash, All devices in area disabled until end of scene.
Improved Monofilament Whip,weapon,modules/cybermancy/assets/icons/weapons/improved-monofilament-whip.png,A reinforced filament with servo control for higher cutting torque and unmatched lethality.,2,FALSE,oneHanded,attack,,,,veryClose,1,finesse,d10+4,physical,hitPoints,Lethal Edge," On a Hope win, upgrade one damage die to max value.",Severance," Cut through armor, restraints, or environmental barriers."
Improved Cyber Spur,weapon,modules/cybermancy/assets/icons/weapons/improved-cyber-spur.png,"Enhanced retractable spurs forged from titanium alloy, near undetectable by security scanners.",2,FALSE,oneHanded,attack,,,,melee,1,instinct,d8+4,physical,hitPoints,Concealed, Cannot be detected by casual scans.,Spinal Strike, Target is paralyzed for 1 round.
Improved Shock Baton,weapon,modules/cybermancy/assets/icons/weapons/improved-shock-baton.png,Upgraded battery coils deliver chained electrical arcs between multiple nearby targets.,2,FALSE,oneHanded,attack,,,,close,1,presence,d8+3,physical,hitPoints,Arc Charge, Spend 1 Stress to arc lightning to another Very Close target.,Overload, Targets nervous system locks up; they drop gear.
Improved Vibro-Knife,weapon,modules/cybermancy/assets/icons/weapons/improved-vibro-knife.png,"Precision-tuned vibration edge allows for armor penetration and silent, efficient kills.",2,FALSE,oneHanded,attack,,,,melee,1,agility,d8+5,physical,hitPoints,Piercing, Ignores 1 level of armor.,Assassins Cut, Severe damage ignoring defenses.
Smartpistol Mk II,weapon,modules/cybermancy/assets/icons/weapons/smartpistol-mk-ii.png,Improved ballistic computer with predictive recoil compensation and infrared tracking.,2,FALSE,oneHanded,attack,,,,far,1,finesse,d6+5,physical,hitPoints,Smartlink, Auto-correct; reroll a miss once per scene.,Eye Shot, Disable optics or key sensors.
Compact SMG,weapon,modules/cybermancy/assets/icons/weapons/compact-smg.png,A miniaturized submachine gun favored by covert teams — concealable but vicious in a firefight.,2,FALSE,twoHanded,attack,,,,close,1,agility,d6+6,physical,hitPoints,Burst Fire, Spend Hope to hit two targets in Close range.,Crowd Control, Panic/disrupt all enemies in Very Close range.
Military Assault Rifle,weapon,modules/cybermancy/assets/icons/weapons/military-assault-rifle.png,Hardened composite frame with select-fire and tactical uplink for squad-level coordination.,2,FALSE,twoHanded,attack,,,,far,1,strength,d8+6,physical,hitPoints,Suppressive Fire," On Hope win, all enemies in line of fire mark Stress.",Armor Break, Ignore armor; bullets chew through cover.
Street Sweeper Shotgun,weapon,modules/cybermancy/assets/icons/weapons/street-sweeper-shotgun.png,Heavy drum-fed shotgun designed to clear rooms and alleys in seconds.,2,FALSE,twoHanded,attack,,,,close,1,instinct,d12+4,physical,hitPoints,Wide Scatter, Attack all targets in Very Close range once per scene.,Bone Shaker, Target knocked prone and loses next turn.
Scoped Sniper Rifle,weapon,modules/cybermancy/assets/icons/weapons/scoped-sniper-rifle.png,Enhanced optics suite allows bullet trajectory correction and real-time target telemetry.,2,FALSE,twoHanded,attack,,,,veryFar,1,knowledge,d8+6,physical,hitPoints,Scoped, Aim for advantage; crit chance rises if aiming 1 round.,Through and Through, Shot penetrates multiple targets.
Fragmentation Grenade+,weapon,modules/cybermancy/assets/icons/weapons/fragmentation-grenade.png,Factory-tuned military variant with denser shrapnel spread and wider kill radius.,2,FALSE,oneHanded,attack,,,,far,1,strength,d12+4,physical,hitPoints,Explosive, Half damage to adjacent zones.,Massive Detonation, Full damage in wider zone (Far).
EMP Grenade+,weapon,modules/cybermancy/assets/icons/weapons/emp-grenade.png,Improved electromagnetic charge capable of disabling entire comm grids in seconds.,2,FALSE,oneHanded,attack,,,,far,1,knowledge,d10,physical,hitPoints,Disruptive, Drones/tech roll at Disadvantage.,Grid Blackout, All tech shuts down until reboot.
Corporate Mono-Whip,weapon,modules/cybermancy/assets/icons/weapons/corporate-mono-whip.png,"A high-grade monofilament weapon issued to elite corp assassins — silent, perfect, final.",3,FALSE,oneHanded,attack,,,,veryClose,1,finesse,d12+6,physical,hitPoints,Lethal Edge, Can slice through vehicles on Hope crit.,Corpse-Cutter," Destroy one environmental object (door, drone, wall)."
Titanium Cyber Spurs,weapon,modules/cybermancy/assets/icons/weapons/titanium-cyber-spurs.png,Polished titanium spurs with self-cleaning servos and monomolecular precision edges.,3,FALSE,oneHanded,attack,,,,melee,1,instinct,d10+6,physical,hitPoints,Hidden Killer, +2 to first attack in combat.,Critical Tendons, Cripple targets mobility permanently.
Heavy Shock Baton,weapon,modules/cybermancy/assets/icons/weapons/heavy-shock-baton.png,Industrial security baton capable of stunning cybernetic brutes and armored enforcers alike.,3,FALSE,oneHanded,attack,,,,close,1,presence,d10+5,physical,hitPoints,Chain Lightning," Spend 2 Hope, arc to 2 additional targets.",System Shutdown, Target incapacitated (stun or KO).
Combat Vibro-Blade,weapon,modules/cybermancy/assets/icons/weapons/combat-vibro-blade.png,"Balanced for extended melee, this knife hums with a subsonic pulse designed for battlefield chaos.",3,FALSE,oneHanded,attack,,,,melee,1,agility,d10+7,physical,hitPoints,High Frequency, +2 to all attack rolls this scene after a hit.,Fatal Wound, Additional 1d12 bleed damage next turn.
Smartpistol Elite,weapon,modules/cybermancy/assets/icons/weapons/smartpistol-elite.png,High-end model linked directly to neural networks for predictive targeting.,3,FALSE,oneHanded,attack,,,,far,1,finesse,d8+6,physical,hitPoints,Autotarget, Always ignore cover.,One-Shot Kill, Severe damage ignoring all armor.
Advanced SMG,weapon,modules/cybermancy/assets/icons/weapons/advanced-smg.png,Modular close-combat firearm with smart recoil dampers and ammo tracking.,3,FALSE,twoHanded,attack,,,,close,1,agility,d6+9,physical,hitPoints,Bulletstorm," Once per rest, attack 3 targets in Close.",Suppression Killzone, Enemies must Retreat or mark Stress.
Advanced Assault Rifle,weapon,modules/cybermancy/assets/icons/weapons/advanced-assault-rifle.png,Elite-issue firearm capable of sustained fire with minimal barrel drift.,3,FALSE,twoHanded,attack,,,,far,1,strength,d10+8,physical,hitPoints,Full Auto," Spend Hope, double damage dice.",Critical Barrage," Mow down cover, forcing enemies into open."
Riot Shotgun,weapon,modules/cybermancy/assets/icons/weapons/riot-shotgun.png,Crowd-control platform launching high-impact kinetic or shock shells to suppress hostiles.,3,FALSE,twoHanded,attack,,,,close,1,instinct,d12+8,physical,hitPoints,Knockback, Push targets back one range band.,Concussive Blast, Stun all in Close cone.
Anti-Materiel Sniper,weapon,modules/cybermancy/assets/icons/weapons/anti-materiel-sniper.png,"Long-range rail weapon capable of puncturing vehicles, mechs, and even bunkers.",3,FALSE,twoHanded,attack,,,,veryFar,1,knowledge,d10+8,physical,hitPoints,Penetration, Shoot through walls/vehicles.,Executioners Shot, Instantly remove non-boss foe.
Cluster Grenade,weapon,modules/cybermancy/assets/icons/weapons/cluster-grenade.png,A multi-charge fragmentation device that detonates across several zones at once.,3,FALSE,oneHanded,attack,,,,far,1,strength,d12+6,physical,hitPoints,Fragment Split, Hit two separate zones.,Kill Zone, Full damage in all adjacent zones.
EMP Cascade,weapon,modules/cybermancy/assets/icons/weapons/emp-cascade.png,A cascading EMP charge that disables all systems across multiple networks simultaneously.,3,FALSE,oneHanded,attack,,,,far,1,knowledge,d12,physical,hitPoints,System Overload, Devices take 2 rounds to recover.,Matrix Burnout, Deckers hit take HP damage directly.
Legendary Monofilament Whip,weapon,modules/cybermancy/assets/icons/weapons/legendary-monofilament-whip.png,"The apex of weaponized filaments, capable of cutting through armor, steel, or reality itself.",4,FALSE,oneHanded,attack,,,,veryClose,1,finesse,d12+10,physical,hitPoints,Reality Cut," Can slice vehicles, turrets, drones.",Sever Reality, Slice environment  create a permanent gap or hazard.
Diamond Cyber Spurs,weapon,modules/cybermancy/assets/icons/weapons/diamond-cyber-spurs.png,Mirror-finish diamond-tipped spurs designed for surgical precision and absolute silence.,4,FALSE,oneHanded,attack,,,,melee,1,instinct,d12+9,physical,hitPoints,Ghost Kill, Cannot be tracked by sensors.,Spinal Sever, Target permanently disabled unless cybernetically healed.
Thunder Baton,weapon,modules/cybermancy/assets/icons/weapons/thunder-baton.png,"Electrified shock weapon tuned for area suppression, discharging arcs of blinding light and sound.",4,FALSE,oneHanded,attack,,,,close,1,presence,d12+9,physical,hitPoints,Overdrive," Once per rest, stun all enemies in Close range.",EMP Surge, Wipe out all small electronics in scene.
Nano Vibro-Blade,weapon,modules/cybermancy/assets/icons/weapons/nano-vibro-blade.png,"A nano-edged weapon that self-sharpens at the molecular level, slicing even through armor plating.",4,FALSE,oneHanded,attack,,,,melee,1,agility,d12+9,physical,hitPoints,Self-Sharpening, Ignore all armor values.,Critical Dissection, Narratively kill or disable any single non-boss foe.
Smartpistol Omega,weapon,modules/cybermancy/assets/icons/weapons/smartpistol-omega.png,An AI-driven sidearm that learns its wielder’s habits and compensates perfectly in combat.,4,FALSE,oneHanded,attack,,,,far,1,finesse,d10+10,physical,hitPoints,AI Assist, Advantage on all ranged rolls.,Neural Kill, Bullet bypasses physical armor; deals Stress + HP.
Prototype SMG,weapon,modules/cybermancy/assets/icons/weapons/prototype-smg.png,Experimental gyro-balanced SMG capable of recoil-free sustained bursts.,4,FALSE,twoHanded,attack,,,,close,1,agility,d8+11,physical,hitPoints,Gyrostabilized, Fire with no recoil penalty.,Critical Spray, Hit all enemies in Close range automatically.
Gauss Rifle,weapon,modules/cybermancy/assets/icons/weapons/gauss-rifle.png,Magnetic accelerator weapon firing hyper-velocity projectiles that punch through anything solid.,4,FALSE,twoHanded,attack,,,,far,1,strength,d12+12,physical,hitPoints,Rail Shot, Spend Stress to deal double damage dice.,Hyper-Pierce, Shot tears through multiple enemies/vehicles in a line.
Plasma Shotgun,weapon,modules/cybermancy/assets/icons/weapons/plasma-shotgun.png,Fires superheated plasma shells that vaporize targets and ignite the surrounding area.,4,FALSE,twoHanded,attack,,,,close,1,instinct,d12+12,physical,hitPoints,Meltdown, Spend Hope to add 1d8 burn damage.,Critical Inferno, All targets in blast zone catch fire.
Orbital Sniper Rifle,weapon,modules/cybermancy/assets/icons/weapons/orbital-sniper-rifle.png,A satellite-linked rifle capable of marking and calling down orbital strikes.,4,FALSE,twoHanded,attack,,,,veryFar,1,knowledge,d12+12,physical,hitPoints,Satellite Link, Call in orbital fire once per rest.,Heavens Lance," Obliterate target zone, GM narrates consequences."
Annihilation Grenade,weapon,modules/cybermancy/assets/icons/weapons/annihilation-grenade.png,"Compact tactical nuke delivering utter destruction in a small, precise radius.",4,FALSE,oneHanded,attack,,,,far,1,strength,d20,physical,hitPoints,Final Boom," Single-use, but massive radius.",Tactical Nuke (Micro), Entire area wiped  citywide consequences.
EMP Singularity,weapon,modules/cybermancy/assets/icons/weapons/emp-singularity.png,A massive EMP charge that disables all systems across multiple networks simultaneously within Very Far range,4,FALSE,oneHanded,attack,,,,far,1,knowledge,d20,physical,hitPoints,Blackout, Kill power grid in 1 km radius once per rest.,System Collapse, Entire Matrix zone crashes beyond repair.
