name,slug,description,tier,actions
Muscle Overdrive Serum,muscle-overdrive-serum,A strength-enhancing stim that floods the body with synthetic adrenaline. +1 bonus to your next Strength roll.,Tier 1,"{'YqbQKTgblItoZOm8': {'type': 'effect', '_id': 'YqbQKTgblItoZOm8', 'systemPath': 'actions', 'description': '<p>You gain a +1 bonus to your next Strength Roll.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'HVCJp9Tkhr1i4Oc1', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/potion-vial-tube-yellow.webp', 'range': ''}}"
Neural Reset Drink,neural-reset-drink,A calming electrolyte-nootropic blend that restores mental balance. Choose one additional downtime move.,Tier 1,"{'ifj42z5FhfMVyyd1': {'type': 'effect', '_id': 'ifj42z5FhfMVyyd1', 'systemPath': 'actions', 'description': '<p>You can drink this potion to choose one additional downtime move.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'PjjGC4TpzjSz9z8s', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/bottle-conical-corked-labeled-shell-cyan.webp', 'range': ''}}"
Neural Toxin Ampule,neural-toxin-ampule,"<p>Make a Melee attack.  On a success, inject this potent toxin that delivers 2d10 direct neural damage to a victim.</p>",Tier 1,"{'F8CUhhCuZMnXVCrw': {'type': 'damage', '_id': 'F8CUhhCuZMnXVCrw', 'systemPath': 'actions', 'description': '<p>A creature who consumes this poison takes 8d10 direct magic damage.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'damage': {'parts': [{'value': {'custom': {'enabled': False, 'formula': ''}, 'multiplier': 'flat', 'flatMultiplier': 8, 'dice': 'd10', 'bonus': None}, 'applyTo': 'hitPoints', 'type': ['magical'], 'base': False, 'resultBased': False, 'valueAlt': {'multiplier': 'prof', 'flatMultiplier': 1, 'dice': 'd6', 'bonus': None, 'custom': {'enabled': False, 'formula': ''}}}], 'includeBase': False}, 'target': {'type': 'self', 'amount': None}, 'effects': [], 'name': 'Consume', 'img': 'icons/consumables/potions/potion-jug-corked-skull-poison-brown-green.webp', 'range': ''}}"
Persona Enhancement Dose,persona-enhancement-dose,An injectable charisma mod that boosts confidence and pheromonal output. +1 bonus to your next Presence roll.,Tier 1,"{'2trd3JYIb527LIrn': {'type': 'effect', '_id': '2trd3JYIb527LIrn', 'systemPath': 'actions', 'description': '<p>You gain a +1 bonus to your next Presence Roll.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'COrKb7gBin4Ro6r6', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/potion-tube-corked-blue.webp', 'range': ''}}"
Precision Sync Injector,precision-sync-injector,A neural alignment serum that steadies fine-motor control. +1 bonus to your next Finesse roll.,Tier 1,"{'l5dx5uYsH0btLDJq': {'type': 'effect', '_id': 'l5dx5uYsH0btLDJq', 'systemPath': 'actions', 'description': '<p>You gain a +1 bonus to your next Finesse Roll.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': '1VAQYZ1YYc9ew9UR', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/flask-corked-blue.webp', 'range': ''}}"
Reactive Deflection Matrix,reactive-deflection-matrix,"A single-use energy field that negates one instance of damage when Hope is spent, then shatters.",Tier 1,"{'EPN43cQmNC97cCw9': {'type': 'effect', '_id': 'EPN43cQmNC97cCw9', 'systemPath': 'actions', 'description': '<p>When you take damage, you can spend a Hope to negate that damage, after which the mirror shatters.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'keyIsID': False, 'key': 'hope', 'value': 1, 'scalable': False, 'step': None, 'consumeOnSuccess': False}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Use', 'img': 'icons/commodities/treasure/token-silver-blue.webp', 'range': ''}}"
Reactive Evasion Smoke,reactive-evasion-smoke,A one-use vial that releases micro-smoke drones. Roll d6s equal to Agility; add the highest to Evasion vs. that attack.,Tier 1,"{'4nFnAoyH5dENizsx': {'type': 'effect', '_id': '4nFnAoyH5dENizsx', 'systemPath': 'actions', 'description': '<p>When an adversary attacks you, use this vial and roll a number of d6s equal to your Agility. Add the highest result to your Evasion against the attack.</p>', 'chatDisplay': True, 'actionType': 'reaction', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Use', 'img': 'icons/consumables/potions/bottle-bulb-empty-glass.webp', 'range': ''}}"
Agility Booster Plus,agility-booster-plus,An enhanced nanoshot that grants +1 Agility until your next rest.,Tier 2,"{'UIVnvI726LJnlK86': {'type': 'effect', '_id': 'UIVnvI726LJnlK86', 'systemPath': 'actions', 'description': '<p>You gain a +1 bonus to your Agility until your next rest.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'L9dAw8pws1o02XkE', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/potion-jar-capped-teal.webp', 'range': ''}}"
Arc Resonance Powder,arc-resonance-powder,<p>Quantum dust that amplifies magical output. Adds 1d12 to your next magic damage roll.</p>,Tier 2,"{'oHph7e6VrOwPetbE': {'type': 'effect', '_id': 'oHph7e6VrOwPetbE', 'systemPath': 'actions', 'description': '<p>You can apply this dust to a weapon that deals magic damage to add a d12 to your next damage roll with that weapon.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'L68lFhuWdS3ppDxR', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Use', 'img': 'icons/commodities/materials/bowl-powder-grey.webp', 'range': ''}}"
Armor Nanite Repair Kit,armor-nanite-repair-kit,A swarm of nanites that reknit damaged armor plating. Spend any amount of Hope to clear that many Armor Slots.,Tier 2,"{'htoGx8qrv8trds81': {'type': 'effect', '_id': 'htoGx8qrv8trds81', 'systemPath': 'actions', 'description': '<p>You can use this stitcher to spend any number of Hope and clear that many Armor Slots.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [{'scalable': True, 'key': 'hope', 'value': 1, 'step': 1, 'keyIsID': False, 'consumeOnSuccess': False}], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Stitch', 'img': 'icons/skills/trades/textiles-stitching-leather-brown.webp', 'range': ''}}"
Cognitive Overclock Plus,cognitive-overclock-plus,Advanced nootropic granting +1 Knowledge until next rest.,Tier 2,"{'cZL1A3hNXHbjfwi3': {'type': 'effect', '_id': 'cZL1A3hNXHbjfwi3', 'systemPath': 'actions', 'description': '<p>You gain a +1 bonus to your Knowledge until your next rest.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'Ul5brgnx88npVGNj', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/bottle-corked-empty.webp', 'range': ''}}"
Data Clone Chip,data-clone-chip,"A single-use microdrive that duplicates any stored data perfectly. After use, becomes inert silicon.",Tier 2,"{'j5gIVHXvcGu7PEZZ': {'type': 'effect', '_id': 'j5gIVHXvcGu7PEZZ', 'systemPath': 'actions', 'description': '<p>By touching this piece of parchment to another, you can perfectly copy the second parchment’s contents. Once used, this parchment becomes mundane paper.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Use', 'img': 'icons/sundries/scrolls/scroll-worn-beige.webp', 'range': ''}}"
Flashbang Grenade,flashbang-grenade,A high-intensity flash device blinding all targets within Close range until they take HP damage.,Tier 2,"{'vk4dE0C8bjNdTwAF': {'type': 'effect', '_id': 'vk4dE0C8bjNdTwAF', 'systemPath': 'actions', 'description': '<p>You can activate this orb to create a flash of bright light. All targets within Close range become Vulnerable until they mark HP.</p><p>@Template[type:emanation|range:c]</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'nryJhrF26hyFQUxH', 'onSave': False}], 'target': {'type': 'any', 'amount': None}, 'name': 'Activate', 'img': 'icons/magic/light/explosion-star-large-blue-yellow.webp', 'range': 'close'}}"
Grav-Damp Chip,grav-damp-chip,"<p>A combination quantum mechanical probability chip and temporary magical field that reduces gravitational pull, letting you fall slowly for minutes equal to your level.</p>",Tier 2,"{'MC0EA6TDZpEHMz11': {'type': 'effect', '_id': 'MC0EA6TDZpEHMz11', 'systemPath': 'actions', 'description': '<p>You can use this bone to control your falling speed for a number of minutes equal to your level.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Use', 'img': 'icons/commodities/bones/bones-stack-worn-brown.webp', 'range': ''}}"
Grav-Lift Harness,grav-lift-harness,Deployable grav-wings granting flight for minutes equal to your level.,Tier 2,"{'HopgGHn12CHiDNuk': {'type': 'effect', '_id': 'HopgGHn12CHiDNuk', 'systemPath': 'actions', 'description': '<p>You gain magic wings that allow you to fly for a number of minutes equal to your level.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': '80F8gAn7ejhhNL7R', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Use', 'img': 'icons/consumables/plants/leaf-broad-blue.webp', 'range': ''}}"
Hyper-Corrosive Edge Coating,hyper-corrosive-edge-coating,A volatile toxin gel that adds 1d12 to your next physical damage roll.,Tier 2,"{'kOU2DpAIHvQsFY5A': {'type': 'effect', '_id': 'kOU2DpAIHvQsFY5A', 'systemPath': 'actions', 'description': '<p>You can apply this saliva to a weapon that deals physical damage to add a d12 to your next damage roll with that weapon.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'tWf00ezdpxQQLuZ1', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Apply', 'img': 'icons/commodities/materials/slime-thick-blue.webp', 'range': ''}}"
Industrial Adhesive Gel,industrial-adhesive-gel,A dual-compound resin that permanently bonds objects together.,Tier 2,"{'SWrgUGHIWCXpED1b': {'type': 'effect', '_id': 'SWrgUGHIWCXpED1b', 'systemPath': 'actions', 'description': '<p>This honey can be used to glue two objects together permanently.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Use', 'img': 'icons/consumables/food/soup-broth-bowl-wooden-yellow.webp', 'range': ''}}"
Instinct Amplifier Plus,instinct-amplifier-plus,Refined AI-tuned patch that grants +1 Instinct until next rest.,Tier 2,"{'zerWKpcBvtiaUfaw': {'type': 'effect', '_id': 'zerWKpcBvtiaUfaw', 'systemPath': 'actions', 'description': '<p>You gain a +1 bonus to your Instinct until your next rest.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'v2EXGXbJaewaMxFC', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/bottle-round-corked-pink.webp', 'range': ''}}"
Macro-Size Serum,macro-size-serum,A nanite expansion serum doubling your size with +2 Strength and +1 Proficiency until reverted.,Tier 2,"{'A8wHvMnKnewQ2J3m': {'type': 'effect', '_id': 'A8wHvMnKnewQ2J3m', 'systemPath': 'actions', 'description': '<p>You can drink this potion to double your size until you choose to drop this form or your next rest. While in this form, you have a +2 bonus to Strength and a +1 bonus to your Proficiency.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'YEGd74Lssj7rCmpF', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/potion-bottle-corked-labeled-green.webp', 'range': ''}}"
Memory Transfer Crystal,memory-transfer-crystal,"Upon death, stores your last loadout data. An ally can absorb it, inheriting one of your cards before it dissolves.",Tier 2,"{'We38aIuxBrv8zhfr': {'type': 'effect', '_id': 'We38aIuxBrv8zhfr', 'systemPath': 'actions', 'description': '<p>If you die while holding this stone, an ally can take a card from your loadout to place in their loadout or vault. After they take this knowledge, the stone crumbles.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Use', 'img': 'icons/commodities/treasure/token-engraved-blue-glowing.webp', 'range': ''}}"
Micro-Size Serum,micro-size-serum,A nanite serum halving your body size with +2 Agility and –1 Proficiency until reverted.,Tier 2,"{'F9vKFVwtJfR4Q8Kh': {'type': 'effect', '_id': 'F9vKFVwtJfR4Q8Kh', 'systemPath': 'actions', 'description': '<p>You can drink this potion to halve your size until you choose to drop this form or your next rest. While in this form, you have a +2 bonus to Agility and a −1 penalty to your Proficiency.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'yaRLd7eHWYm2MHRM', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/flask-decorated-label-pink.webp', 'range': ''}}"
Morbid Contact toxin,morbid-contact-toxin,<p>You can apply this venom to a weapon that deals physical damage to add a d8 to your next damage roll with that weapon.</p>,Tier 2,"{'KhZ4WVT9cLA1a1y8': {'type': 'effect', '_id': 'KhZ4WVT9cLA1a1y8', 'systemPath': 'actions', 'description': '<p>You can apply this venom to a weapon that deals physical damage to add a d8 to your next damage roll with that weapon.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': 'P7tbNjq58bQ9R1Cc', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Apply', 'img': 'icons/consumables/potions/potion-jar-corked-labeled-poison-skull-green.webp', 'range': ''}}"
Muscle Overdrive Plus,muscle-overdrive-plus,Advanced muscle stim that grants +1 Strength until your next rest.,Tier 2,"{'Z7ehTbRegQvq74tl': {'type': 'effect', '_id': 'Z7ehTbRegQvq74tl', 'systemPath': 'actions', 'description': '<p>You gain a +1 bonus to your Strength until your next rest.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': '3PfXBJy0ZjLBDAIn', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/potion-jar-corked-orange.webp', 'range': ''}}"
Nanowire Bridge Pod,nanowire-bridge-pod,Deploys self-assembling nanowires forming a bridge up to Far range; dissolves after short rest.,Tier 2,"{'dk7fhkfA4m5lqNWB': {'type': 'effect', '_id': 'dk7fhkfA4m5lqNWB', 'systemPath': 'actions', 'description': '<p>Thick vines grow from your location to a point of your choice within Far range, allowing you to climb up or across them. The vines dissipate on your next short rest.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [], 'target': {'type': 'any', 'amount': None}, 'name': 'Plant', 'img': 'icons/consumables/plants/leaf-old-dried-curled-green.webp', 'range': ''}}"
Night-Vision Eye Drops,night-vision-eye-drops,A retinal nanofluid that enhances low-light sensitivity. You can see in total darkness until your next rest.,Tier 2,"{'6Ny75zR1b8I8Ycsb': {'type': 'effect', '_id': '6Ny75zR1b8I8Ycsb', 'systemPath': 'actions', 'description': '<p>When you drink the contents of this vial, you can see in total darkness until your next rest.</p>', 'chatDisplay': True, 'actionType': 'action', 'cost': [], 'uses': {'value': None, 'max': '', 'recovery': None, 'consumeOnSuccess': False}, 'effects': [{'_id': '548KAUPcSbQLsivh', 'onSave': False}], 'target': {'type': 'self', 'amount': None}, 'name': 'Drink', 'img': 'icons/consumables/potions/bottle-ornate-bat-teal.webp', 'range': ''}}"
