name,slug,description
Digital Awareness,digital-awareness,"<p><span style=""box-sizing:border-box;margin:0px;scrollbar-width:thin;scrollbar-color:var(--color-scrollbar) var(--color-scrollbar-track);color:rgb(239, 230, 216);font-family:Signika, 'Palatino Linotype', sans-serif;font-size:14px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;font-weight:400;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;white-space:normal;background-color:rgba(24, 22, 46, 0.376);text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial"">You can take an action to become aware of any digital signal within Very Close.</span></p><p></p><p><span style=""box-sizing:border-box;margin:0px;scrollbar-width:thin;scrollbar-color:var(--color-scrollbar) var(--color-scrollbar-track);color:rgb(239, 230, 216);font-family:Signika, 'Palatino Linotype', sans-serif;font-size:14px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;font-weight:400;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;white-space:normal;background-color:rgba(24, 22, 46, 0.376);text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial"">This alerts you to the devices’ presence, type, and whether they are hardened or unhardened.</span></p><p></p><p><span style=""box-sizing:border-box;margin:0px;scrollbar-width:thin;scrollbar-color:var(--color-scrollbar) var(--color-scrollbar-track);color:rgb(239, 230, 216);font-family:Signika, 'Palatino Linotype', sans-serif;font-size:14px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;font-weight:400;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;white-space:normal;background-color:rgba(24, 22, 46, 0.376);text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial"">Spend 1 Hope to extend the range to within Close.</span></p><p></p><p><span style=""box-sizing:border-box;margin:0px;scrollbar-width:thin;scrollbar-color:var(--color-scrollbar) var(--color-scrollbar-track);color:rgb(239, 230, 216);font-family:Signika, 'Palatino Linotype', sans-serif;font-size:14px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;font-weight:400;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;white-space:normal;background-color:rgba(24, 22, 46, 0.376);text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial"">Mark 1 Stress to extend the range to within Far. </span></p>"
Digital wasteland,digital-wasteland,"<p class=""Card-Feature"">You are on fire and a little out of control. <br />Once per long rest, <strong>Mark 2 Stress</strong> and <strong>Spend 2 Hope</strong> to start a counter at your Tier level (Tier 1: d4, Tier 2: d6, Tier 3: d8, Tier 4: d10). While that counter is in effect:</p><ul><li>+6 on all Control rolls</li><li>You cannot make Analyze or Infiltration rolls</li><li>+d6 on all damage effects</li></ul>"
Digital whisp,digital-whisp,<p>You fade between lines of code like smoke through fingers—every trace you leave behind already rewriting itself into nothing.</p>
Disorientation,disorientation,Spend 2 Hope - all adversaries within Very Close are disoriented and gain -2 Evasion until the GM spends 2 Fear to end the effect.
"Don't worry, that was just a glitch",don-t-worry-that-was-just-a-glitch,"<p><span style=""color:rgb(239, 230, 216);font-family:Signika, 'Palatino Linotype', sans-serif;font-size:14px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;font-weight:400;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;white-space:normal;background-color:rgba(24, 22, 46, 0.376);text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial;display:inline !important;float:none"">Once per Scene, </span><span style=""box-sizing:border-box;scrollbar-width:thin;scrollbar-color:var(--color-scrollbar) var(--color-scrollbar-track);color:rgb(239, 230, 216);font-family:Signika, 'Palatino Linotype', sans-serif;font-size:14px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;white-space:normal;background-color:rgba(24, 22, 46, 0.376);text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial""><strong>Mark 1 Stress</strong></span><span style=""color:rgb(239, 230, 216);font-family:Signika, 'Palatino Linotype', sans-serif;font-size:14px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;font-weight:400;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;white-space:normal;background-color:rgba(24, 22, 46, 0.376);text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial;display:inline !important;float:none""> to reduce the System Alert level by 1.</span></p>"
Driving expert,driving-expert,"<p class=""Card-Feature"">All Driving checks are +1.</p>"
Drone control,drone-control,"<p class=""Card-Feature""><strong>Mark 1 Stress</strong> to target 1 drone within Far and make a Knowledge check against the drone’s Difficulty. On success, you may immediately use that drone to perform an Action. The drone remains under your control until the GM Spends 1 Fear.</p>"
Dual wielding,dual-wielding,"<p class=""Card-Feature"">If you are wielding a Melee weapon and gun (both of which must be one-handed), <strong>Spend 3 Hope</strong> to make an attack with each against different targets. =</p>"
Eclipse Wall,eclipse-wall,"<p><span style=""box-sizing:border-box;margin:0px;scrollbar-width:thin;scrollbar-color:var(--color-scrollbar) var(--color-scrollbar-track);color:rgb(239, 230, 216);font-family:Signika, 'Palatino Linotype', sans-serif;font-size:14px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;font-weight:400;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;white-space:normal;background-color:rgba(24, 22, 46, 0.376);text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial""><em style=""box-sizing:border-box;scrollbar-width:thin;scrollbar-color:var(--color-scrollbar) var(--color-scrollbar-track)"">The world outside goes silent—you’re inside the machine now.</em></span></p><p><span style=""box-sizing:border-box;margin:0px;scrollbar-width:thin;scrollbar-color:var(--color-scrollbar) var(--color-scrollbar-track);color:rgb(239, 230, 216);font-family:Signika, 'Palatino Linotype', sans-serif;font-size:14px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;font-weight:400;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;white-space:normal;background-color:rgba(24, 22, 46, 0.376);text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial""><br style=""box-sizing:border-box;scrollbar-width:thin;scrollbar-color:var(--color-scrollbar) var(--color-scrollbar-track)"" /></span><span class=""Card-Feature"" style=""box-sizing:border-box;margin:0px;scrollbar-width:thin;scrollbar-color:var(--color-scrollbar) var(--color-scrollbar-track);color:rgb(239, 230, 216);font-family:Signika, 'Palatino Linotype', sans-serif;font-size:14px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;font-weight:400;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;white-space:normal;background-color:rgba(24, 22, 46, 0.376);text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial"">The cognitive dissonance created by interacting with this ICE results in -2 on Evasion until you break this subroutine or disengage from the Device.</span></p>"
Entangle,entangle,"<p><span style=""box-sizing:border-box;margin:0px;scrollbar-width:thin;scrollbar-color:var(--color-scrollbar) var(--color-scrollbar-track);color:rgb(239, 230, 216);font-family:Signika, 'Palatino Linotype', sans-serif;font-size:14px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;font-weight:400;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;white-space:normal;background-color:rgba(24, 22, 46, 0.376);text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial"">A net drops explosively from the ceiling entangling all creatures within Close.All creatures within Close must make a Reaction check against the Difficulty of this device or else be <em style=""box-sizing:border-box;scrollbar-width:thin;scrollbar-color:var(--color-scrollbar) var(--color-scrollbar-track)"">Restrained</em></span></p>"
Expert maneuver,expert-maneuver,"<p class=""Card-Feature""><strong>Spend 3 Hope</strong> to negate any Driving Environment Event.</p>"
Fade to Black,fade-to-black,"<p>As a passive effect, if Nyla is standing perfectly still in shadow, her difficulty for being perceived becomes an 18.</p>"
Fast car,fast-car,You start with a car that grants you +1 on all Driving checks (when you are driving that car)
Feedback Loop,feedback-loop,"When an ally fails a roll, as a Reaction, Spend 1 Hope to make a Spellcasting (15) and on a success turn their failure it into a Success with Fear."
Field collapse,field-collapse,"Once per scene, cancel one magical effect.  Spend 1 Hope per Tier of the originating adversary."
Firewall Hydra,firewall-hydra,"<i>Cut off one head—wake three daemons.</i><br /><br /><p class=""Card-Feature"">Bypassing one layer spawns two new subroutines.</p>"
Focused aggression,focused-aggression,"<p class=""Card-Feature""><strong>Spend 3 Hope</strong> to gain +2 to either all attacks made by Melee weapons or all attacks made by guns until the end of the Scene.</p>"
Fractal Surge,fractal-surge,"Once per scene, unleash a burst of raw probability.  
o	All Devices within Very Close gain -2 to their Hacking Difficulty 
o	All adversary electronic systems gain Disadvantage on their attack rolls until the GM spends 1 Fear to end that effect."
Frostline,frostline,"<i>Packets crawl. Time dilates. The grid grows glacial.</i><br /><br /><p class=""Card-Feature"">Freezes the network; all hack rolls suffer Disadvantage until thawed.</p>"
Get behind me,get-behind-me,"<p class=""Card-Feature"">Once per Scene, as a Reaction, when an adversary makes a successful attack on an ally within Close, move immediately to position your token within Melee of your ally and between the adversary and the ally (moving one of them if necessary). The attack is now successful on you instead of your ally.</p>"
Grinder,grinder,"<p><em>The system eats your focus one grain at a time.</em><br /><br /></p><p class=""Card-Feature"">This ICE does not block the hacker from making Infiltration or Control actions on this device.</p><p><br />While active, this ICE forces the hacker to Spend 1 Hope to make any Infiltration or Control action on this device.</p>"
Gun trainer,gun-trainer,"<p class=""Card-Feature"">As a downtime action you train each of your allies to better use their guns. <br /><br />Give each ally a <strong>Bullet die</strong> appropriate to your Tier (Tier 1: d4, Tier 2: d6, Tier 3: d8, Tier 4:d10). <br /><br />They may roll this <strong>Bullet die</strong> whenever they make an attack with a gun and add the result to their attack roll.</p>"
Hacking Insight,hacking-insight,<p>Spend 3 Hope to convert a Hacking failure into a Hacking success on one Infiltrate or Control roll</p>
Hacking Insight,hacking-insight,"<p class=""Card-Feature""><strong>Spend 3 Hope</strong> to convert a Hacking failure into a Hacking success on one Infiltrate or Control roll.</p>"
Hardened,hardened,<p>This device is <strong>Hardened</strong> - all Hardened rules apply to hacking attempts on this device.</p>
Harmonic Reversion,harmonic-reversion,"Once per scene, as a Reaction, when an ally within Close would Mark 1 Stress, you Mark 1 Stress instead."
Heaven’s Gate,heaven-s-gate,"<p><em>You don’t hack it—you plead your case.</em><br /><br /></p><p class=""Card-Feature"">Sentient ICE that negotiates, tempts, and judges intruders rather than simply blocking.</p><p></p><p>While active, this ICE requires that the hacker make a Knowledge or Presence check before making a Spellcasting (Hacking) check whenever attempting to disable this ICE or to perform a Control action on this device.</p><p></p><p>The effects of the Knowledge or Prescence rolls are the following:</p><p></p><ul><li><p><strong>Critical success:</strong> The ICE is convinced that you should be here and aids you, +2 on all subsequent Spellcasting (Hacking) checks for the remainder of the Scene.</p></li><li><p><strong>Success with Hope:</strong> The ICE is satisfied with your answer:  no penalty to your next Spellcasting (Hacking) check.</p></li><li><p><strong>Success with Fear:</strong> The ICE is begrudgingly accepting of your answer:  -1 your next Spellcasting (Hacking) check.</p></li><li><p><strong>Failure with Hope</strong>: The ICE is dissatisfied with your answer:  -2 your next Spellcasting (Hacking) check and advance the System Alert level by 1.</p></li><li><p><strong>Failure with Fear</strong>: The ICE is very dissatisfied with your answer:  -4 your next Spellcasting (Hacking) check and advance the System Alert level by 2.</p></li><li><p><strong>Critical Failure:</strong> The ICE is convinced that you are in the wrong:  no future Spellcasting (Hacking) attempts are allowed and advance the System Alert level to max.</p></li></ul><p></p><p></p><p></p><p></p>"
Heavy Ordinance,heavy-ordinance,You are able to use any type of weaponry including heavy military ordinance that no other PC can normally use.
I've seen this model before,i-ve-seen-this-model-before,"<p>Your eyes trace the circuitry—familiar, predictable; you’ve cracked this design before, and its secrets are already whispering back to you.</p>"
Inspired Driving,inspired-driving,"<p class=""Card-Feature""><strong>Spend 3 Hope</strong> to convert a Driving failure into a Driving success.</p>"
Interference,interference,"<p class=""Card-Feature""><strong>Spend 3 Hope</strong> to disrupt electronics within Close. Set a d4 to a value of 4 and decrement each time you take a Reaction to have one of the following effects:</p><ul><li>-2 to an enemy’s attack with electronic weapons (which are most weapons in Cybermancy),</li><li>-2 to Evasion for one drone or device within Close. This effect cannot target a non-synthetic entity or construct (even a cybernetically enhanced one).</li><li>-2 to a Reaction roll for a creature within Close.</li></ul>"
I’ve driven this before,i-ve-driven-this-before,"+2 on any Driving check, regardless of what you are driving."
I’ve seen this model before,i-ve-seen-this-model-before,"<p><strong>Spend 1 Hope</strong> and make an Infiltration roll at +2.</p><p><br />On a result of:</p><ul><li>Succeed with Hope - You gain access to the Infiltration actions only and you leave a backdoor such that this device is at -2 Difficulty until your next rest (short or long) for all rolls, Infiltrate or Control.</li><li>Succeed with Fear – You gain access to the Infiltration actions only.</li><li>Fail with Hope – No access granted, but no increate in the System Alert level</li><li><p>Fail with Fear – No access granted, Increate the System Alert by 1.</p><p></p></li></ul>"
Joined at the hip,joined-at-the-hip,"<p class=""Card-Feature"">One per long rest, if you and your Primary Drone are within Close of each other, when damage from an attack would Mark either of your last Hit Point, you or your Primary Drone can move to the other’s side and Mark the Hit Point instead.</p>"
Kick open the front door,kick-open-the-front-door,Spend 1 Hope to gain +4 on your first Control roll against a device if and only if you have not made an Analysis check on it.  On a result of:o	Succeed with Hope -  gain Control (access to all actions) and don’t raise the System alert level.o	Succeed with Fear – gain Control (access to all actions) and raise the System alert level 1 step.o	Fail with Hope or Fear – don’t gain ontrol and raise the System alert level 2 steps.
Kraken ICE,kraken-ice,"<i>Your drone pivots its gun toward you and waits.</i><br /><br /><p class=""Card-Feature"">Attempts to seize control of your cyberware or drones for one Scene.</p>"
Lethal Combo,lethal-combo,"<p class=""Card-Feature""><strong>Mark 1 Stress</strong>Mark 1 Stress for you and your Primary Drone both to take an action during a Spotlight</p>"
Living Conductor,living-conductor,"<p>Your body is both ward and wire—a walking firewall etched in runes and circuitry. Requirement: You have at least one Arcana card and one Circuit card in your active loadout. </p><p>Effect: As a Reaction, once per Scene, You have Resistance to magic damage. In addition, when you would take damage from ICE (digital countermeasures), you may mark 1 Armor Slot to reduce that damage as normal (treat it as a physical hit for purposes of Armor).</p>"
Lock on,lock-on,
Mana Phase Change Circuit,mana-phase-change-circuit,
Mana-Encryption Wave,mana-encryption-wave,"<p>You wrap allies in a shimmering data-shroud of sigils and encryption keys. </p><p>Cost: Spend 3 Hope. </p><p>Range: Close. </p><p>Effect: Choose any number of allies within range. Until the end of the scene, each chosen ally increases their Major and Severe damage thresholds by an amount equal to your Spellcast trait (minimum +1).</p>"
Merge with the Matrix,merge-with-the-matrix,<p>You can see it all!  And it is all so beautiful and simple…</p>
Mirror Maze,mirror-maze,"<i>You’re not lost in code—the code is lost in you.</i><br /><br /><p class=""Card-Feature"">Spawns fake nodes and recursive logins; wastes time and Hope.</p>"
Need for speed,need-for-speed,"<p class=""Card-Feature""><strong>Spend 3 Hope</strong> to make 2 Drive checks whenever you are Spotlighted during a Chase.</p>"
Neural Ripper,neural-ripper,"<i>It burns your nerves before you even see it.</i><br /><br /><p class=""Card-Feature"">Targets wetware directly; roll physical defense or mark HP instead of Stress.</p>"
Neuromancy Protocol,neuromancy-protocol,"<p>Spellwork and software share the same bus. </p><p>After you succeed on a Spellcast roll using an Arcana card, you may immediately take an additional action to perform a Circuit-domain hack or Circuit feature you have access to. </p><p>This follow-up action does not cost Hope (if it normally would), but it can still have other costs (like marking Stress) and it must target the same system, scene, or opposition when reasonable.</p>"
"Now you see me, now you don’t",now-you-see-me-now-you-don-t,"<p>Once per Short Rest, after failing on an Infiltration roll, <strong>Mark 1 Stress</strong> to cause the ICE to react as if you had not made the Infiltration roll at all.</p>"
Overseer Protocol,overseer-protocol,"<i>You feel the CEO’s signature pulsing in every file.</i><br /><br /><p class=""Card-Feature"">Forces compliance mode; all hacking penalties are doubled until root is restored.</p>"
Pawning the Past,pawning-the-past,"<p>You run a regression trace on a person’s timeline and spin up a “backup” memory state. </p><p>Once per session, you may touch (or establish a secure comms link to) a willing creature and implant a false but plausible memory of a single recent event (no longer than a few minutes of lived experience). </p><p>The memory feels real for 1028 seconds and then degrades over the next day; afterward, the target retains two conflicting recollections. The GM decides what concrete details can be changed, but this feature cannot erase oaths, remove Conditions, or undo harm—only alter what the target believes happened.</p>"
Pea gun,pea-gun,
Power Up,power-up,"<p class=""Card-Feature""><strong>Spend 3 Hope</strong> when your Primary Drone succeeds on an Attack to have your Primary Drone attack one additional adversaries within Far.</p>"
Primary Drone,primary-drone,"<p class=""Card-Feature"">The Primary Drone is quite similar to the Ranger Companion, but with a few differences. Take the Decker Primary Drone sheet and fill it out. <br /></p><ul><li>Level 1: Evasion 10, Thresholds: 5/9, HP 3, Stress 2, Armor 1, Attack: Melee, d6, 2 Mod slots (no experiences)</li><li><p>Higher-levels: Same set of leveling up options as the Ranger, but these additional ones:</p><ul><li>+1 Mod slot (can be taken 2x)</li><li>Hard to kill: +1 HP (can be taken 3x)</li><li>Tougher: Thresholds: 7/11</li></ul></li></ul>"
Primary Drone upgrade - +1 Mod,primary-drone-upgrade-1-mod,"<p class=""Card-Feature"">Your Primary Drone is versitile! - +1 Mod slot</p>"
Primary Drone upgrade - additional upgrade,primary-drone-upgrade-additional-upgrade,"<p class=""Card-Feature"">Choose an additional upgrade for your Primary Drone</p>"
Primary Drone upgrade - dmg threshold and upgrade,primary-drone-upgrade-dmg-threshold-and-upgrade,"<p class=""Card-Feature"">Your Primary Drone is tougher now - damage thresholds of 9 / 15. Also, choose an additional upgrade for your Primary Drone</p>"
Primary Drone upgrade - Evasion 12,primary-drone-upgrade-evasion-12,"<p class=""Card-Feature"">Your Primary Drone is almost as fast as you! Its Evasion is 12</p>"
Primary Drone upgrade - Evasion 14,primary-drone-upgrade-evasion-14,"<p class=""Card-Feature"">Your Primary Drone is almost as fast as you! Its Evasion is 14</p>"
Protection assignment,protection-assignment,"<p class=""Card-Feature"">At the beginning of a Scene, designate 1 ally as your Primary Focus. If they are within Very Close of you, they get +2 Evasion. <br /><strong>Mark 1 Stress</strong> to change which ally is your focus.</p>"
Quantum Casting,quantum-casting,"<p>Your technical expertise amplifies your spellwork. </p><p>When you spend Hope to apply an Experience bonus to an Arcana Spellcast roll, and that Experience is clearly related to technology, hacking, or digital systems, double the Experience’s modifier for that roll (for example, +2 becomes +4).</p>"
Quantum Lattice,quantum-lattice,"Spend 1 Hope to impose structure on the immediate area. Choose up to two allies within Very Close – their next action cannot fail, but also cannot critically succeed; a failed roll is treated as Succeed With Fear."
Quick hack,quick-hack,"<p class=""Card-Feature""><strong>Mark 1 Stress</strong> to gain Control of 1 unhardened device regardless of Tier or to make an Infiltration or a Control roll at +2.</p>"
Quick reflexes,quick-reflexes,"<p class=""Card-Feature"">As a Reaction, when you are about to be attacked at Melee range and are wielding a Melee weapon, <strong>Mark 1 Stress</strong> to make an Attack on the would-be attacker first.</p>"
Rail gun,rail-gun,
Reality fissure,reality-fissure,"Once per session, redirect one successful ranged attack on any target within Close to a different target also within Close.  That attack’s damage is applied to the new target."
Reboot,reboot,"<p class=""Card-Feature""><strong>Spend 3 Hope</strong> to restore a Device, Cybernetic implant, or Drone. If the target item has Hit Points, it is returned to 1 Hit Point.</p>"
Reprogram reality,reprogram-reality,"Once per session, shift to an approximately identical parallel universe - change one thing about the scene (with the GM’s discretion).  Describe what has changed and narrate the effect."
Resolve,resolve,"<p class=""Card-Feature"">You gain a pool of dice called <strong>Bullet dice</strong>. Whenever you fail an attack roll with Fear, add a d6 to your Bullet die pool. You can store a number of Bullet die equal to your proficiency. When you make an attack roll or damage roll, you can spend any number of these Bullet Dice, rolling them and adding their result to the total. At the start of each session, clear any unspent Bullet Dice and gain 1 Hope per die cleared.</p>"
Resonant Overdrive,resonant-overdrive,Spend 1 Hope to amplify an ally’s next roll. That roll gains Advantage and deals +d4 damage.
Reverb,reverb,"Mark 1 Stress to cause ALL (from yourself, allies, and adversaries) magical effects within Close to do +d4 damage for the remainder of the Scene"
Ride the wave,ride-the-wave,Spend 3 Hope to force an adversary within Far to re-roll a Spellcasting check of any type.
Schlieren patterns,schlieren-patterns,All allies within Close gain +1 Evasion.
Scrambler Field,scrambler-field,"<i>Your interface can’t decide what’s real.</i><br /><br /><p class=""Card-Feature"">Randomizes outputs—success and failure both become chaotic.</p>"
Siren,siren,"<i>Your comm buzzes with your own voice: ‘Come home.’</i><br /><br /><p class=""Card-Feature"">Generates perfect voices and prompts to lure you deeper into the system.</p>"
Situational awareness,situational-awareness,"<p class=""Card-Feature""><strong>Spend 1 Hope</strong> and make an Instinct roll (13). On a success, you are immediately aware if there are any creatures with the Hidden condition within Far (but you don’t know exactly where they are).</p>"
Sleaze Gate,sleaze-gate,"<p><em>The easiest path is always the one that bites.</em><br /><br /></p><p class=""Card-Feature"">Any device with this ICE on it presents itself as Unhardened.  Upon the first attempt by a hacker to take a Control action, the device re-presents itself as Hardened and the hacker must, as a Reaction, make an immediate Spellcasting (Hacking) check with a Difficulty +2.  The outcomes are:</p><p></p><ul><li><p>Critical success: the ICE is deactivated no other consequences.</p></li><li><p>Success with Hope: No negative effects, but the ICE is still active and must be disabled before any Control action can be taken.</p></li><li><p>Success with Fear: Mark 1 Stress and the ICE is still active and must be disabled before any Control action can be taken.</p></li><li><p>Failures: the ICE is still active and must be disabled before any Control action can be taken.  </p><ul><li><p>Advance the System alert by 2. </p></li><li><p>All Spellcasting (Hacking) attempts are at -2 for the remainder of the Scene</p></li><li><p>There is a tracker installed on your computer and removing this required the expendature of a Long Rest downtime activity.</p></li></ul></li></ul>"
Soulcatcher,soulcatcher,"<i>Somewhere, your digital ghost keeps working.</i><br /><br /><p class=""Card-Feature"">Copies a fragment of your consciousness into cold storage.</p>"
Sphere of control,sphere-of-control,"<p class=""Card-Feature"">When you Spotlight an Action to Attack, you can attack any adversary within Melee of all allies within Very Close of you.</p>"
