name,slug,tier,description
Hold Them Down,hold-them-down,Bruiser,"<p>Make an attack against a target within Melee range. On a success, the target takes no damage but is Restrained and <em>Vulnerable</em>. The target can break free, clearing both conditions, with a successful Strength Roll or is freed automatically if the Kneebreaker takes Major or greater damage.</p>"
I've Got 'Em,i-ve-got-em,Bruiser,<p>Creatures <em>Restrained</em> by the Kneebreaker take double damage from attacks by other adversaries.</p>
Immovable Object,immovable-object,Bruiser,"<p>An attack that would move the Elemental moves them two fewer ranges (for example, Far becomes Very Close). When the Elemental takes physical damage, reduce it by 7.</p>"
Kinetic Slam,kinetic-slam,Bruiser,<p>Targets who take damage from the Sentinel’s standard attack are knocked back to Very Close range.</p>
Mana Bolt,mana-bolt,Bruiser,<p><strong>Spend a Fear</strong> to lob explosive magic at a point within Far range. All targets within Very Close range of that point must make an Agility Reaction Roll. Targets who fail take <strong>2d8+20</strong> magic damage and are knocked back to Close range. Targets who succeed take half damage and aren’t knocked back.</p><p>@Template[type:circle|range:vc]</p>
Momentum,momentum,Bruiser,"<p>When the Elemental makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Bruiser,"<p>When the Sentinel makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Bruiser,"<p>When the Brawler makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Bruiser,"<p>When the Bear makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Bruiser,"<p>When the Weaponmaster makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Bruiser,"<p>When the Scorpion makes a successful attack against a PC, you gain a Fear.</p>"
Overwhelming Force,overwhelming-force,Bruiser,<p>Targets who mark HP from the Bear’s standard attack are knocked back to Very Close range.</p>
Perfect Strike,perfect-strike,Bruiser,<p><strong>Mark a Stress </strong>to make a standard attack against all targets within Very Close range. Targets the Zombie succeeds against are <em>Vulnerable</em> until their next rest.</p><p>@Template[type:emanation|range:vc]</p>
Reality Quake,reality-quake,Bruiser,"<p><strong>Spend a Fear</strong> to rattle the edges of reality within Far range of the Abomination. All targets within that area must succeed on a Knowledge Reaction Roll or become Unstuck from reality until the end of the scene. When an Unstuck target spends Hope or marks Armor Slots, HP, or Stress, they must double the amount spent or marked.</p><p>@Template[type:emanation|range:f]</p>"
Rend Asunder,rend-asunder,Bruiser,"<p>Make a standard attack with advantage against a target the Zombie has <em>Restrained</em>. On a success, the attack deals direct damage.</p>"
Rending Bite,rending-bite,Bruiser,"<p>When the Shark makes a successful attack, the target must mark an Armor Slot without receiving its benefits (they can still use armor to reduce the damage). If they can’t mark an Armor Slot, they must mark an additional HP.</p>"
Retalliation,retalliation,Bruiser,"<p>When the Demon takes damage from an attack within Close range, you can <strong>mark a Stress</strong> to make a standard attack against the attacker.</p><p>@Template[type:emanation|range:c]</p>"
Rip and Tear,rip-and-tear,Bruiser,"<p>When the Zombies makes a successful standard attack, you can <strong>mark a Stress</strong> to temporarily Restrain the target and force them to mark 2 Stress.</p>"
Rockslide,rockslide,Bruiser,<p><strong>Mark a Stress</strong> to create a rockslide that buries the land in front of Elemental within Close range with rockfall. All targets in this area must make an Agility Reaction Roll (19). Targets who fail take <strong>2d12+5</strong> physical damage and become Vulnerable until their next roll with Hope. Targets who succeed take half damage.</p><p>@Template[type:inFront|range:c]</p>
Skilled Opportunist,skilled-opportunist,Bruiser,"<p>When another adversary deals damage to a target within Very Close range of the Zombie, you can <strong>spend a Fear</strong> to add the Zombie’s standard attack damage to the damage roll.</p>"
Slow,slow,Bruiser,"<p>When you spotlight the Zombie and they don’t have a token on their stat block, they can’t act yet. Place a token on their stat block and describe what they’re preparing to do. When you spotlight the Zombie and they have a token on their stat block, clear the token and they can act.</p>"
Swashbuckler,swashbuckler,Bruiser,"<p>When the Tough marks 2 or fewer HP from an attack within Melee range, the attacker must mark a Stress.</p>"
Terrifying,terrifying,Bruiser,"<p>When the Knight makes a successful attack, all PCs within Close range lose a Hope and you gain a Fear.</p>"
Terrifying,terrifying,Bruiser,"<p>When the Zombie makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.</p><p>@Template[type:emanation|range:f]</p>"
Unreal Form,unreal-form,Bruiser,"<p>When the Abomination takes damage, reduce it by <strong>1d20</strong>. If the Abomination marks 1 or fewer Hit Points from a successful attack against them, you gain a Fear.</p>"
Venomous Stinger,venomous-stinger,Bruiser,"<p>Make an attack against a target within Very Close range. On a success, <strong>spend a Fear</strong> to deal <strong>1d4+4</strong> physical damage and Poison them until their next rest or they succeed on a Knowledge Roll (16). While Poisoned, the target must roll a <strong>d6</strong> before they make an action roll. On a result of 4 or lower, they must mark a Stress. </p>"
Bloodsucker,bloodsucker,Horde,"<p>When the Mosquitoes’ attack causes a target to mark HP, you can <strong>mark a Stress</strong> to force the target to mark an additional HP.</p>"
Crush,crush,Horde,<p><strong>Mark a Stress</strong> to deal <strong>2d6+8</strong> direct physical damage to a target with 3 or more bramble tokens.</p>
Dreadhowl,dreadhowl,Horde,"<p><strong>Mark a Stress</strong> to make all targets within Very Close range lose a Hope. If a target is not able to lose a Hope, they must instead mark 2 Stress.</p><p>@Template[type:emanation|range:vc]</p>"
Encumber,encumber,Horde,"<p>When the Swarm succeeds on an attack, give the target a bramble token. If a target has any bramble tokens, they are Restrained. If a target has 3 or more bramble tokens, they are also Vulnerable. All bramble tokens can be removed by succeeding on a Finesse Roll (12 + the number of bramble tokens) or dealing Major or greater damage to the Swarm. If bramble tokens are removed from a target using a Finesse Roll, a number of Tangle Bramble Minions spawn within Melee range equal to the number of tokens removed.</p>"
Flying,flying,Horde,"<p>While flying, the Mosquitoes have a +2 bonus to their Difficulty.</p>"
Focused Volley,focused-volley,Horde,<p><strong>Spend a Fear</strong> to target a point within Far range. Make an attack with advantage against all targets within Close range of that point. Targets the Squadron succeeds against take <strong>1d10+4</strong> physical damage.</p><p>@Template[type:circle|range:c]</p>
Horde (1d4+1),horde-1d4-1,Horde,"<p>When the Raiders have marked half or more of their HP, their standard attack deals <strong>1d4+1</strong> physical damage instead.</p>"
Horde (1d4+1),horde-1d4-1,Horde,"<p>When the Mosquitoes have marked half or more of their HP, their standard attack deals <strong>1d4+1</strong> physical damage instead.</p>"
Horde (1d4+1),horde-1d4-1,Horde,"<p>When the Raiders have marked half or more of their HP, their standard attack deals <strong>1d4+1</strong> physical damage instead.</p>"
Horde (1d4+2),horde-1d4-2,Horde,"<p>When the Zombies have marked half or more of their HP, their standard attack deals <strong>1d4+2</strong> physical damage instead.</p>"
Horde (1d4+2),horde-1d4-2,Horde,"<p>When the Zombies have marked half or more of their HP, their standard attack deals <strong>1d4+2</strong> physical damage instead.</p>"
Horde (1d6+3),horde-1d6-3,Horde,"<p>When the Squadron has marked half or more of their HP, their standard attack deals <strong>1d6+3</strong> physical damage instead.</p>"
Horde (2d4+1),horde-2d4-1,Horde,"<p>When the Eels have marked half or more of their HP, their standard attack deals <strong>2d4+1</strong> physical damage instead.</p>"
Horde (2d4+1),horde-2d4-1,Horde,"<p>When the Eels have marked half or more of their HP, their standard attack deals <strong>2d4+1</strong> physical damage instead.</p>"
Horde (2d6+5),horde-2d6-5,Horde,"<p>When the Legion has marked half or more of their HP, their standard attack deals <strong>2d6+5</strong> physical damage instead.</p>"
In Your Face,in-your-face,Horde,<p>All targets within Melee range have disadvantage on attacks against targets other than the Swarm.</p>
Overwhelm,overwhelm,Horde,"<p>When the Zombies mark HP from an attack within Melee range, you can <strong>mark a Stress</strong> to make a standard attack against the attacker.</p>"
Paralyzing Shock,paralyzing-shock,Horde,<p><strong>Mark a Stress</strong> to make a standard attack against all targets within Very Close range. You gain a Fear for each target that marks HP.</p>
Relentless (2),relentless-2,Horde,<p>The Legion can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.</p>
Supressing Fire,supressing-fire,Horde,"<p><strong>Mark a Stress</strong> to target a point within Far range. Until the next roll with Fear, a creature who moves within Close range of that point must make an Agility Reaction Roll. On a failure, they take <strong>2d6+3</strong> physical damage. On a success, they take half damage.</p><p>@Template[type:circle|range:c]</p>"
Unyielding,unyielding,Horde,<p>The Legion has resistance to physical damage.</p>
Arcane Steel,arcane-steel,Leader,<p>Damage dealt by the Spellblade’s standard attack is considered both physical and magic.</p>
Beam Of Decay,beam-of-decay,Leader,<p><strong>Mark 2 Stress</strong> to cause all targets within Far range to make a Strength Reaction Roll. Targets who fail take <strong>2d20+12</strong> magic damage and you gain a Fear. Targets who succeed take half damage. A target who marks 2 or more HP must also <strong>mark 2 Stress</strong> and becomes <em>Vulnerable</em> until they roll with Hope.</p><p>@Template[type:emanation|range:f]</p>
Bramble Patch,bramble-patch,Leader,<p><strong>Mark a Stress</strong> to target a point within Far range. Create a patch of thorns that covers an area within Close range of that point. All targets within that area take <strong>2d6+2</strong> physical damage when they act. A target must succeed on a Finesse Roll or deal more than 20 damage to the Dryad with an attack to leave the area.</p><p>@Template[type:circle|range:c]</p>
Cavalry Charge,cavalry-charge,Leader,"<p>If the Knight is mounted, move up to Far range and make a standard attack against a target. On a success, deal <strong>2d8+4</strong> physical damage and the target must mark a Stress.</p>"
Chevalier,chevalier,Leader,"<p>While the Knight is on a mount, they gain a +2 bonus to their Difficulty. When they take Severe damage, they’re knocked from their mount and lose this benefit until they’re next spotlighted.</p>"
Coup de Grace,coup-de-grace,Leader,"<p><strong>Spend a Fear</strong> to make an attack against a Vulnerable target within Close range. On a success, deal <strong>2d6+12</strong> physical damage and the target must mark a Stress.</p>"
Dance Of Death,dance-of-death,Leader,"<p><strong>Mark a Stress</strong> to spotlight <strong>1d4</strong> allies. Attacks they make while spotlighted in this way deal half damage, or full damage if you spend a Fear.</p>"
Deadly Companion,deadly-companion,Leader,"<p>Twice per scene, summon a Bear, Dire Wolf, or similar Tier 1 animal adversary under the Beastmaster’s control. The adversary appears at Close range and is immediately spotlighted.</p>"
Deathlock,deathlock,Leader,<p><strong>Spend a Fear</strong> to curse a target within Very Close range with a necrotic Deathlock until the end of the scene. Attacks made by the Hunter against a Deathlocked target deal direct damage. The Hunter can only maintain one Deathlock at a time.</p>
Double or Nothing,double-or-nothing,Leader,"<p>When a PC within Far range fails a roll, they can choose to reroll their Fear Die and take the new result. If they still fail, they mark 2 Stress and the Demon clears a Stress.</p>"
Fallen Hounds,fallen-hounds,Leader,"<p>Once per scene, when the SecretKeeper marks 2 or more HP, you can <strong>mark a Stress</strong> to summon a @UUID[Compendium.daggerheart.adversaries.Actor.NoRZ1PqB8N5wcIw0]{Demonic Hound Pack}, which appears at Close range and is immediately spotlighted.</p>"
Feed on Followers,feed-on-followers,Leader,"<p>When the Vampire is within Melee range of an ally, they can cause the ally to mark a HP. The Vampire then clears a HP.</p>"
For the Realm!,for-the-realm,Leader,<p><strong>Mark a Stress</strong> to spotlight <strong>[[/r 1d4+1]]</strong> allies. Attacks they make while spotlighted in this way deal half damage.</p>
Ghost,ghost,Leader,<p>The Captain has resistance to physical damage. <strong>Mark a Stress</strong> to move up to Close range through solid objects.</p>
God Rays,god-rays,Leader,"<p><strong>Mark a Stress</strong> to reflect a sliver of divinity as a searing beam of light that hits up to twenty targets within Very Far range. Targets must make a Presence Reaction Roll, with disadvantage if they are marked Guilty. Targets who fail take <strong>4d6+12</strong> magic damage. Targets who succeed take half damage.</p>"
Grow Saplings,grow-saplings,Leader,"<p><strong>Spend a Fear</strong> to grow three @UUID[Compendium.daggerheart.adversaries.Actor.o63nS0k3wHu6EgKP]{Treant Sapling Minions}, who appear at Close range and immediately take the spotlight.</p>"
Heavily Armored,heavily-armored,Leader,"<p> When the Knight takes physical damage, reduce it by 3.</p>"
Hold Fast,hold-fast,Leader,"<p>When the Captain’s Spectral allies are forced to make a reaction roll, you can <strong>mark a Stress</strong> to give those allies a +2 bonus to the roll.</p>"
Inevitable Death,inevitable-death,Leader,<p><strong>Mark a Stress</strong> to spotlight <strong>1d4</strong> allies. Attacks they make while spotlighted in this way deal half damage.</p>
Judgement,judgement,Leader,"<p><strong>Spend a Fear</strong> to make a target Guilty in the eyes of the Seraph’s god until the Seraph is defeated. While Guilty, the target doesn’t gain Hope on a result with Hope. When the Seraph succeeds on a standard attack against a Guilty target, they deal Severe damage instead of their standard damage. The Seraph can only mark one target at a time.</p>"
Lifesuck,lifesuck,Leader,"<p>When the Vampire is spotlighted, roll a <strong>d8</strong>. On a result of 6 or higher, all targets within Very Close range must mark a HP.</p><p>@Template[type:emanation|range:vc]</p>"
Look into My Eyes,look-into-my-eyes,Leader,"<p>A creature who moves into Melee range of the Vampire must make an Instinct Reaction Roll. On a failure, you gain <strong>[[/r 1d4]]</strong> Fear.</p>"
Momentum,momentum,Leader,"<p>When the Spellblade makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Leader,"<p>When the Head Guard makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Leader,"<p>When the Captain makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Leader,"<p>When the Captain makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Leader,"<p>When the Lieutenant makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Leader,"<p>When the Dryad makes a successful attack against a PC, you gain a Fear.</p>"
Momentum,momentum,Leader,"<p> When the Assassin makes a successful attack against a PC, you gain a Fear.</p>"
More Where That Came From,more-where-that-came-from,Leader,"<p>Summon three Jagged Knife Lackeys, who appear at Far range.</p>"
Move as a Unit,move-as-a-unit,Leader,<p><strong>Spend 2 Fear</strong> to spotlight up to fi ve allies within Far range.</p>
No Quarter,no-quarter,Leader,"<p><strong>Spend a Fear</strong> to choose a target who has three or more Pirates within Melee range of them. The Captain leads the Pirates in hurling threats and promises of a watery grave. The target must make a Presence Reaction Roll. On a failure, the target marks <strong>1d4+1</strong> Stress. On a success, they must mark a Stress.</p>"
"Not Today, My Dears",not-today-my-dears,Leader,"<p>When the Necromancer has marked 7 or more of their HP, you can <strong>spend a Fear</strong> to have them teleport away to a safe location to recover. A PC who succeeds on an Instinct Roll can trace the teleportation magic to their destination.</p>"
On My Signal,on-my-signal,Leader,"<p>Countdown (5). When the Head Guard is in the spotlight for the fi rst time, activate the countdown. It ticks down when a PC makes an attack roll. When it triggers, all Archer Guards within Far range make a standard attack with advantage against the nearest target within their range. If any attacks succeed on the same target, combine their damage.</p><p>@Template[type:emanation|range:f]</p>"
Open the Gates of Death,open-the-gates-of-death,Leader,"<p><strong>Spend a Fear</strong> to summon a @UUID[Compendium.daggerheart.adversaries.Actor.YhJrP7rTBiRdX5Fp]{Zombie Legion}, which appears at Close range and immediately takes the spotlight.</p>"
Our Master's Will,our-master-s-will,Leader,"<p>When you spotlight an ally within Far range, <strong>mark a Stress</strong> to gain a Fear.</p>"
Pinning Strike,pinning-strike,Leader,"<p>Make a standard attack against a target. On a success, you can <strong>mark a Stress</strong> to pin them to a nearby surface. The pinned target is <em>Restrained</em> until they break free with a successful Finesse or Strength Roll.</p>"
Rally Guards,rally-guards,Leader,<p><strong>Spend 2 Fear</strong> to spotlight the Head Guard and up to <strong>2d4</strong> allies within Far range.</p><p>@Template[type:emanation|range:f]</p>
Rampage,rampage,Leader,"<p>Countdown (Loop 1d6). When the Hunter is in the spotlight for the fi rst time, activate the countdown. When it triggers, move the Hunter in a straight line to a point within Far range and make an attack against all targets in their path. Targets the Hunter succeeds against take <strong>2d8+2</strong> physical damage.</p><p>@Template[type:ray|range:f]</p>"
Reinforcements,reinforcements,Leader,"<p>Once per scene, <strong>mark a Stress</strong> to summon a Pirate Raiders Horde, which appears at Far range.</p>"
Relentless (3),relentless-3,Leader,<p>The Seraph can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.</p>
Seize Your Moment,seize-your-moment,Leader,<p><strong>Spend 2 Fear</strong> to spotlight <strong>1d4</strong> allies. Attacks they make while spotlighted in this way deal half damage.</p>
Strike as One,strike-as-one,Leader,<p><strong>Mark a Stress</strong> to spotlight a number of other Assassins equal to the Assassin’s unmarked Stress.</p>
Summoning Ritual,summoning-ritual,Leader,"<p>Countdown (6). When the Secret-Keeper is in the spotlight for the first time, activate the countdown. When they mark HP, tick down this countdown by the number of HP marked. When it triggers, summon a @UUID[Compendium.daggerheart.adversaries.Actor.3tqCjDwJAQ7JKqMb]{Minor Demon} who appears at Close range.</p>"
Supressing Blast,supressing-blast,Leader,<p><strong>Mark a Stress</strong> and target a group within Far range. All targets must succeed on an Agility Reaction Roll or take <strong>1d8+2</strong> magic damage. You gain a Fear for each target who marked HP from this attack.</p><p>@Template[type:emanation|range:f]</p>
Swashbuckler,swashbuckler,Leader,"<p>When the Captain marks 2 or fewer HP from an attack within Melee range, the attacker must mark a Stress.</p>"
Swashbuckler,swashbuckler,Leader,"<p>When the Captain marks 2 or fewer HP from an attack within Melee range, the attacker must mark a Stress.</p>"
Tactician,tactician,Leader,"<p>When you spotlight the Lieutenant, <strong>mark a Stress</strong> to also spotlight two allies within Close range.</p>"
Terrifying,terrifying,Leader,"<p>When the Vampire makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.</p><p>@Template[type:emanation|range:f]</p>"
Terrifying,terrifying,Leader,"<p>When the Demon makes a successful attack, all PCs within Far range must lose a Hope and you gain a Fear.</p><p>@Template[type:emanation|range:f]</p>"
Terrifying,terrifying,Leader,"<p>When the Hunter makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.</p><p>@Template[type:emanation|range:f]</p>"
The Hunt Is On,the-hunt-is-on,Leader,"<p><strong>Spend 2 Fear</strong> to summon [[/r 1d4]] @UUID[Compendium.daggerheart.adversaries.Actor.WWyUp6Mxl1S3KYUG]{Vampires}, who appear at Far range and immediately take the spotlight.</p>"
The Root of Villainy,the-root-of-villainy,Leader,<p><strong>Spend a Fear</strong> to spotlight two other Demons within Far range.</p>
The Subtle Blade,the-subtle-blade,Leader,"<p>When the Assassin successfully makes a standard attack against a <em>Vulnerable</em> target, you can <strong>spend a Fear</strong> to deal Severe damage instead of their standard damage.</p>"
Thorny Cage,thorny-cage,Leader,"<p><strong>Spend a Fear</strong> to form a cage around a target within Very Close range and Restrain them until they’re freed with a successful Strength Roll. When a creature makes an action roll against the cage, they must mark a Stress. </p>"
Two as One,two-as-one,Leader,"<p>When the Beastmaster is spotlighted, you can also spotlight a Tier 1 animal adversary currently under their control.</p>"
Unending Battle,unending-battle,Leader,<p><strong>Spend 2 Fear</strong> to return up to [[/r 1d4+1]] defeated Spectral allies to the battle at the points where they first appeared (with no marked HP or Stress).</p>
Unparalleled Skill,unparalleled-skill,Leader,<p><strong>Mark a Stress</strong> to deal the Demon’s standard attack damage to a target within Close range.</p>
Voice of the Forest,voice-of-the-forest,Leader,"<p><strong>Mark a Stress</strong> to spotlight <strong>1d4</strong> allies within range of a target they can attack without moving. On a success, their attacks deal half damage.</p>"
We Are All One,we-are-all-one,Leader,"<p>When an ally dies within Close range, you can spend a Fear to clear 2 HP and 2 Stress as the fallen ally’s life force is returned to the forest.</p><p>@Template[type:emanation|range:c]</p>"
We Are One,we-are-one,Leader,"<p>Once per scene, <strong>spend a Fear</strong> to spotlight all other adversaries within Far range. Attacks they make while spotlighted in this way deal half damage.</p>"
Won't See it Coming,won-t-see-it-coming,Leader,<p> The Assassin deals direct damage while they’re <em>Hidden</em>.</p>
You Pale in Comparison,you-pale-in-comparison,Leader,"<p>When a PC fails a roll within Close range of the Demon, they must mark a Stress.</p><p>@Template[type:emanation|range:c]</p>"
Your Life Is Mine,your-life-is-mine,Leader,"<p>Countdown (Loop 2d6). When the Necromancer has marked 6 or more of their HP, activate the countdown. When it triggers, deal <strong>2d10+6</strong> direct magic damage to a target within Close range. The Necromancer then <strong>clears a number of Stress or HP</strong> equal to the number of HP marked by the target from this attack.</p>"
Aura of Doom,aura-of-doom,Minion,"<p>When a PC marks HP from an attack by the Shock Troop, they lose a Hope.</p>"
Divine Flight,divine-flight,Minion,"<p>While the Soldier is flying, <strong>spend a Fear</strong> to move up to Far range instead of Close range before taking an action.</p>"
Divine Flight,divine-flight,Minion,"<p>While the Soldier is flying, <strong>spend a Fear</strong> to move up to Far range instead of Close range before taking an action.</p>"
Drain and Multiply,drain-and-multiply,Minion,"<p>When an attack from the Bramble causes a target to mark HP and there are three or more Tangle Bramble Minions within Close range, you can combine the Minions into a @UUID[Compendium.daggerheart.adversaries.Actor.PKSXFuaIHUCoH63A]{Tangle Bramble Swarm Horde}. The Horde’s HP is equal to the number of Minions combined.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Outer Realm Thralls within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 11 physical damage each. Combine this damage.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Rotted Zombies within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 2 physical damage each. Combine this damage.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Apprentice Assassins within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 4 physical damage each. Combine this damage.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Giant Recruits within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 5 physical damage each. Combine this damage.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Treant Saplings within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 8 physical damage each. Combine this damage.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Conscripts within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 6 physical damage each. Combine this damage.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Elemental Sparks within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 5 physical damage each. Combine this damage.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Dredges within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 1 physical damage each. Combine this damage.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Sellswords within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 3 physical damage each. Combine this damage.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Hallowed Soldiers within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 10 physical damage each. Combine this damage.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Minor Treants within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 4 physical damage each. Combine this damage.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Jagged Knife Lackeys within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 2 physical damage each. Combine this damage.</p>"
Group Attack,group-attack,Minion,"<p><strong>Spend a Fear</strong> to choose a target and spotlight all Tangle Brambles within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 2 physical damage each. Combine this damage.</p>"
