category,action_identifier,action_name,action_type,action_description
consumables,Potion_of_Stability,Drink,effect,<p>You can drink this potion to choose one additional downtime move.</p>
consumables,Redthorn_Saliva,Apply,effect,<p>You can apply this saliva to a weapon that deals physical damage to add a d12 to your next damage roll with that weapon.</p>
consumables,Replication_Parchment,Use,effect,"<p>By touching this piece of parchment to another, you can perfectly copy the second parchment’s contents. Once used, this parchment becomes mundane paper.</p>"
consumables,Shrinking_Potion,Drink,effect,"<p>You can drink this potion to halve your size until you choose to drop this form or your next rest. While in this form, you have a +2 bonus to Agility and a −1 penalty to your Proficiency.</p>"
consumables,Sleeping_Sap,Wake,healing,<p>You can drink this potion to fall asleep for a full night’s rest. You clear all Stress upon waking.</p>
consumables,Snap_Powder,Imbibe,healing,<p>Mark a Stress and clear a HP.</p>
consumables,Stamina_Potion,Drink,healing,<p>Clear 1d4+1 Stress.</p>
consumables,Stardrop,Use,damage,<p>You can use this stardrop to summon a hailstorm of comets that deals 8d20 physical damage to all targets within Very Far range.</p><p>@Template[type:emanation|range:vf]</p>
consumables,Stride_Potion,Drink,effect,<p>You gain a +1 bonus to your next Agility Roll.</p>
consumables,Sun_Tree_Sap,Consume,attack,"<p>Consume this sap to roll a [[/r d6]]. On a result of 5–6, clear 2 HP. On a result of 2–4, clear 3 Stress. On a result of 1, see through the veil of death and return changed, gaining one scar.</p>"
consumables,Sweet_Moss,Clear Hit Points,healing,<p>You can consume this moss during a rest to clear 1d10 HP.</p>
consumables,Sweet_Moss,Clear Stress,healing,<p>You can consume this moss during a rest to clear 1d10 Stress.</p>
consumables,Unstable_Arcane_Shard,Throw,attack,<p>You can make a Finesse Roll to throw this shard at a group of adversaries within Far range. Targets you succeed against take 1d20 magic damage.</p>
consumables,Varik_Leaves,Eat,healing,<p>You can eat these paired leaves to immediately gain 2 Hope.</p>
consumables,Vial_of_Darksmoke,Use,effect,"<p>When an adversary attacks you, use this vial and roll a number of d6s equal to your Agility. Add the highest result to your Evasion against the attack.</p>"
consumables,Vial_of_Moondrip,Drink,effect,"<p>When you drink the contents of this vial, you can see in total darkness until your next rest.</p>"
consumables,Wingsprout,Use,effect,<p>You gain magic wings that allow you to fly for a number of minutes equal to your level.</p>
domaincards,A_Soldier_s_Bond,Gain 3 Hope,healing,"<p class=""Body-Foundation"">Once per long rest, when you compliment someone or ask them about something they’re good at, you can both gain 3 Hope.</p>"
domaincards,Adjust_Reality,Spend Hope,effect,"<p>After you or a willing ally make any roll, you can <strong>spend 5 Hope</strong> to change the numerical result of that roll to a result of your choice instead. The result must be plausible within the range of the dice.</p>"
domaincards,Arcana_Touched,Switch Duality Results,effect,"<p><span class=""vertical-card-list-found"" style=""box-sizing: border-box; margin: 0px 0px 0.25rem; scrollbar-width: thin; scrollbar-color: rgb(93, 20, 43) rgba(0, 0, 0, 0); font-family: Montserrat, sans-serif"">Once per rest, you can switch the results of your Hope and Fear Dice.</span></p>"
domaincards,Arcane_Reflection,Reflect Back,attack,"<p class=""Body-Foundation"">When you would take magic damage, you can <strong>spend any number of Hope</strong> to roll that many <strong>d6s</strong>. If any roll a 6, the attack is reflected back to the caster, dealing the damage to them instead.</p>"
domaincards,Armorer,Repair Armor,healing,"<p class=""Body-Foundation"">During a rest, when you choose to repair your armor as a downtime move, your allies also clear an Armor Slot.</p>"
domaincards,Astral_Projection,Project,effect,"<p class=""Body-Foundation"">Once per long rest, <strong>mark a Stress</strong> to create a projected copy of yourself that can appear anywhere you’ve been before.</p><p class=""Body-Foundation"">You can see and hear through the projection as though it were you and affect the world as though you were there. A creature investigating the projection can tell it’s of magical origin. This effect lasts until your next rest or your projection takes any damage.</p>"
domaincards,Banish,Spellcast Roll,attack,"<p class=""Body-Foundation"">Make a <strong>Spellcast Roll</strong> against a target within Close range. On a success, roll a number of <strong>d20</strong>s equal to your Spellcast trait. The target must make a reaction roll with a Difficulty equal to your highest result. On a success, the target must mark a Stress but isn’t banished. Once per rest on a failure, they are banished from this realm.</p><p class=""Body-Foundation"">When the PCs roll with Fear, the Difficulty gains a −1 penalty and the target makes another reaction roll. On a success, they return from banishment.</p>"
domaincards,Battle_Cry,Clear Stress & Gain Hope,healing,"<p class=""Body-Foundation"">Once per long rest, while you’re charging into danger, you can muster a rousing call that inspires your allies. All allies who can hear you each clear a Stress and gain a Hope. Additionally, your allies gain advantage on attack rolls until you or an ally rolls a failure with Fear.</p>"
domaincards,Battle_Hardened,Spend a Hope,healing,"<p class=""Body-Foundation"">Once per long rest when you would make a Death Move, you can <strong>spend a Hope</strong> to clear a Hit Point instead.</p>"
domaincards,Battle_Monster,Mark 4 Stress,effect,"<p class=""Body-Foundation"">When you make a successful attack against an adversary, you can <strong>mark 4 Stress</strong> to force the target to mark a number of Hit Points equal to the number of Hit Points you currently have marked instead of rolling for damage.</p>"
domaincards,Blink_Out,Teleport,attack,"<p>Make a <strong>Spellcast Roll (12)</strong>. On a success, <strong>spend a Hope</strong> to teleport to another point you can see within Far range. If any willing creatures are within Very Close range, <strong>spend an additional Hope</strong> for each creature to bring them with you.</p>"
domaincards,Bold_Presence,Avoid Condition,effect,"<p>Additionally, once per rest when you would gain a condition, you can describe how your bold presence aids you in the situation and avoid gaining the condition.</p>"
domaincards,Bold_Presence,Spend Hope,effect,"<p class=""Body-Foundation"">When you make a Presence Roll, you can <strong>spend a Hope</strong> to add your Strength to the roll.</p>"
domaincards,Bolt_Beacon,Cast,attack,"<p><span style=""color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none"">Make a </span><span class=""tooltip-convert"" style=""box-sizing: border-box; scrollbar-width: thin; scrollbar-color: rgb(93, 20, 43) rgba(0, 0, 0, 0); color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial""><strong style=""box-sizing: border-box; scrollbar-width: thin; scrollbar-color: rgb(93, 20, 43) rgba(0, 0, 0, 0);"">Spellcast Roll</strong></span><span style=""color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none""> against a target within </span><span class=""tooltip-convert"" style=""box-sizing: border-box; scrollbar-width: thin; scrollbar-color: rgb(93, 20, 43) rgba(0, 0, 0, 0); color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial"">Far</span><span style=""color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none""> range. On a success, </span><span style=""box-sizing: border-box; scrollbar-width: thin; scrollbar-color: rgb(93, 20, 43) rgba(0, 0, 0, 0); color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial"">spend a </span><span class=""tooltip-convert"" style=""box-sizing: border-box; scrollbar-width: thin; scrollbar-color: rgb(93, 20, 43) rgba(0, 0, 0, 0); color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial""><strong style=""box-sizing: border-box; scrollbar-width: thin; scrollbar-color: rgb(93, 20, 43) rgba(0, 0, 0, 0);"">Hope</strong></span><span style=""color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none""> to send a bolt of shimmering light toward them, dealing </span><span style=""box-sizing: border-box; scrollbar-width: thin; scrollbar-color: rgb(93, 20, 43) rgba(0, 0, 0, 0); color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial"">d8+2</span><span style=""color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none""> magic damage using your </span><span class=""tooltip-convert"" style=""box-sizing: border-box; scrollbar-width: thin; scrollbar-color: rgb(93, 20, 43) rgba(0, 0, 0, 0); color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial"">Proficiency</span><span style=""color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none"">. The target becomes temporarily </span><span class=""tooltip-convert"" style=""box-sizing: border-box; scrollbar-width: thin; scrollbar-color: rgb(93, 20, 43) rgba(0, 0, 0, 0); color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial""><em style=""box-sizing: border-box; scrollbar-width: thin; scrollbar-color: rgb(93, 20, 43) rgba(0, 0, 0, 0);"">Vulnerable</em></span><span style=""color: rgb(239, 230, 216); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgba(24, 22, 46, 0.376); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none""> and glows brightly until this condition is cleared.</span></p>"
domaincards,Bone_Touched,Spend Hope,effect,"<p>Once per rest, you can <strong>spend 3 Hope</strong> to cause an attack that succeeded against you to fail instead.</p>"
domaincards,Book_of_Ava,Ice Spike,attack,"<p>Make a <strong>Spellcast Roll (12)</strong> to summon a large ice spike within Far range. If you use it as a weapon, make the Spellcast Roll against the target’s Difficulty instead. On a success, deal <strong>d6</strong> physical damage using your Proficiency.</p>"
domaincards,Book_of_Ava,Ice Spike (Attack),attack,"<p>Make a <strong>Spellcast Roll (12)</strong> to summon a large ice spike within Far range. If you use it as a weapon, make the Spellcast Roll against the target’s Difficulty instead. On a success, deal <strong>d6</strong> physical damage using your Proficiency.</p>"
domaincards,Book_of_Ava,Power Push,attack,"<p></p><p class=""Card-Feature"">Make a <strong>Spellcast Roll</strong> against a target within Melee range. On a success, they’re knocked back to Far range and take <strong>d10+2</strong> magic damage using your Proficiency.</p>"
domaincards,Book_of_Ava,Tava's Armor,effect,"<p class=""Card-Feature""><strong>Spend a Hope</strong> to give a target you can touch a +1 bonus to their Armor Score until their next rest or you cast Tava’s Armor again.</p>"
domaincards,Book_of_Exota,Construct (Take Action),attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll</strong> to command the constructs to take action. When necessary, they share your Evasion and traits and their attacks deal <strong>2d10+3</strong> physical damage. You can only maintain one construct at a time, and they fall apart when they take any amount of damage.</p>"
domaincards,Book_of_Exota,Create Construct,effect,"<p class=""Card-Feature""><strong>Spend a Hope</strong> to choose a group of objects around you and create an animated construct from them that obeys basic commands.</p>"
domaincards,Book_of_Exota,Repudiate,attack,"<p class=""Card-Feature"">You can interrupt a magical effect taking place. Make a reaction roll using your Spellcast trait. Once per rest on a success, the effect stops and any consequences are avoided.</p>"
domaincards,Book_of_Grynn,Arcane Deflection,effect,"<p class=""Card-Feature"">Once per long rest, <strong>spend a Hope</strong> to negate the damage of an attack targeting you or an ally within Very Close range.</p>"
domaincards,Book_of_Grynn,Time Lock,effect,"<p class=""Card-Feature"">Target an object within Far range. That object stops in time and space exactly where it is until your next rest. If a creature tries to move it, make a <strong>Spellcast Roll</strong> against them to maintain this spell.</p>"
domaincards,Book_of_Grynn,Wall Of Flame,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll (15)</strong>. On a success, create a wall of magical flame between two points within Far range. All creatures in its path must choose a side to be on, and anything that subsequently passes through the wall takes <strong>4d10+3</strong> magic damage.</p><p>@Template[type:ray|range:f]</p>"
domaincards,Book_of_Homet,Pass Through,attack,"<p>Make a <strong>Spellcast Roll (13)</strong>. Once per rest on a success, you and all creatures touching you can pass through a wall or door within Close range. The effect ends once everyone is on the other side.</p>"
domaincards,Book_of_Homet,Plane Gate,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll (14)</strong>. Once per long rest on a success, open a gateway to a location in another dimension or plane of existence you’ve been to before. This gateway lasts until your next rest.</p>"
domaincards,Book_of_Illiat,Arcane Barrage,damage,"<p class=""Card-Feature"">Once per rest, <strong>spend any number of Hope</strong> and shoot magical projectiles that strike a target of your choice within Close range. Roll a number of <strong>d6s</strong> equal to the Hope spent and deal that much magic damage to the target.</p>"
domaincards,Book_of_Illiat,Slumber,attack,"<p></p><p class=""Card-Feature""><em><strong>Slumber:</strong></em> Make a <strong>Spellcast Roll</strong> against a target within Very Close range. On a success, they’re <em>Asleep</em> until they take damage or the GM spends a <strong>Fear</strong> on their turn to clear this condition.</p>"
domaincards,Book_of_Illiat,Telepathy,effect,"<p class=""Card-Feature""><strong>Spend a Hope</strong> to open a line of mental communication with one target you can see. This connection lasts until your next rest or you cast Telepathy again.</p>"
domaincards,Book_of_Korvax,Levitation,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll</strong> to temporarily lift a target you can see up into the air and move them within Close range of their original position.</p>"
domaincards,Book_of_Korvax,Recant,attack,"<p class=""Card-Feature""><strong>Spend a Hope</strong> to force a target within Melee range to make a Reaction Roll (15). On a failure, they forget the last minute of your conversation.</p>"
domaincards,Book_of_Korvax,Rune Circle,damage,"<p class=""Card-Feature""><strong>Mark a Stress</strong> to create a temporary magical circle on the ground where you stand. All adversaries within Melee range, or who enter Melee range, take <strong>2d12+4</strong> magic damage and are knocked back to Very Close range.</p><p>@Template[type:emanation|range:m]</p>"
domaincards,Book_of_Norai,Fireball,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll</strong> against a target within Very Far range. On a success, hurl a sphere of fire toward them that explodes on impact. The target and all creatures within Very Close range of them must make a Reaction Roll (13). Targets who fail take<strong> d20+5</strong> magic damage using your Proficiency. Targets who succeed take half damage.</p><p>@Template[type:emanation|range:vc]</p>"
domaincards,Book_of_Norai,Mystic Tether,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll</strong> against a target within Far range. On a success, they’re temporarily <em>Restrained</em> and must mark a Stress. If you target a flying creature, this spell grounds and temporarily <em>Restrains</em> them.</p>"
domaincards,Book_of_Ronin,Eternal Enervation,attack,"<p>Once per long rest, make a <strong>Spellcast Roll</strong> against a target within Close range. On a success, they become permanently <em>Vulnerable</em>. They can’t clear this condition by any means.</p>"
domaincards,Book_of_Ronin,Transform,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll (15)</strong>. On a success, transform into an inanimate object no larger than twice your normal size. You can remain in this shape until you take damage.</p>"
domaincards,Book_of_Sitil,Adjust Appearance,effect,"<p class=""Card-Feature"">You magically shift your appearance and clothing to avoid recognition.</p>"
domaincards,Book_of_Sitil,Illusion,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll (14)</strong>. On a success, create a temporary visual illusion no larger than you within Close range that lasts for as long as you look at it. It holds up to scrutiny until an observer is within Melee range.</p>"
domaincards,Book_of_Sitil,Parallela,effect,"<p class=""Card-Feature""><strong>Spend 2 Hope</strong> to cast this spell on yourself or an ally within Close range. The next time the target makes an attack, they can hit an additional target within range that their attack roll would succeed against. You can only hold this spell on one creature at a time.</p>"
domaincards,Book_of_Tyfar,Magic Hand,effect,"<p class=""Card-Feature"">You conjure a magical hand with the same size and strength as your own within Far range.</p>"
domaincards,Book_of_Tyfar,Mysterious Mist,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll (13)</strong> to cast a temporary thick fog that gathers in a stationary area within Very Close range. The fog heavily obscures this area and everything in it.</p><p>@Template[type:emanation|range:vc]</p>"
domaincards,Book_of_Tyfar,Wild Flame,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll</strong> against up to three adversaries within Melee range. Targets you succeed against take <strong>2d6</strong> magic damage and must mark a Stress as flames erupt from your hand.</p>"
domaincards,Book_of_Vagras,Arcane Door,attack,"<p class=""Card-Feature"">When you have no adversaries within Melee range, make a <strong>Spellcast Roll (13)</strong>. On a success, <strong>spend a Hope</strong> to create a portal from where you are to a point within Far range you can see. It closes once a creature has passed through it.</p>"
domaincards,Book_of_Vagras,Reveal,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll</strong>. If there is anything magically hidden within Close range the roll would succeed against, it is revealed.</p><p>@Template[type:emanation|range:c]</p>"
domaincards,Book_of_Vagras,Runic Lock,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll (15)</strong> on an object you’re touching that can close (such as a lock, chest, or box). Once per rest on a success, you can lock the object so it can only be opened by creatures of your choice. Someone with access to magic and an hour of time to study the spell can break it.</p>"
domaincards,Book_of_Vyola,Memory Delve,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll</strong> against a target within Far range. On a success, peer into the target’s mind and ask the GM a question. The GM describes any memories the target has pertaining to the answer.</p>"
domaincards,Book_of_Vyola,Shared Clarity,effect,"<p class=""Card-Feature"">Once per long rest, <strong>spend a Hope</strong> to choose two willing creatures. When one of them would mark Stress, they can choose between the two of them who marks it. This spell lasts until their next rest.</p>"
domaincards,Book_of_Yarrow,Magic Immunity,effect,"<p class=""Card-Feature""><strong>Spend 5 Hope</strong> to become immune to magic damage until your next rest.</p>"
domaincards,Book_of_Yarrow,Timejammer,attack,"<p class=""Card-Feature"">Make a <strong>Spellcast Roll (18)</strong>. On a success, time temporarily slows to a halt for everyone within Far range except for you. It resumes the next time you make an action roll that targets another creature.</p><p>@Template[type:emanation|range:f]</p>"
