tier,name,trait,range,damage,burden,feature,criticalEffect
3,EMP Cascade,Tech,Far (Area),1d12,One-Handed,System Overload: Devices take 2 rounds to recover.,Matrix Burnout: Deckers hit take HP damage directly.
4,Legendary Monofilament Whip,Finesse,Very Close,1d12+10,One-Handed,"Reality Cut: Can slice vehicles, turrets, drones.",Sever Reality: Slice environment — create a permanent gap or hazard.
4,Diamond Cyber Spurs,Instinct,Melee,1d12+9,One-Handed,Ghost Kill: Cannot be tracked by sensors.,Spinal Sever: Target permanently disabled unless cybernetically healed.
4,Thunder Baton,Presence,Close,1d12+9,One-Handed,"Overdrive: Once per rest, stun all enemies in Close range.",EMP Surge: Wipe out all small electronics in scene.
4,Nano Vibro-Blade,Agility,Melee,1d12+9,One-Handed,Self-Sharpening: Ignore all armor values.,Critical Dissection: Narratively kill or disable any single non-boss foe.
4,Smartpistol Omega,Finesse,Far,1d10+10,One-Handed,AI Assist: Advantage on all ranged rolls.,Neural Kill: Bullet bypasses physical armor; deals Stress + HP.
4,Prototype SMG,Agility,Close,1d8+11,Two-Handed,Gyrostabilized: Fire with no recoil penalty.,Critical Spray: Hit all enemies in Close range automatically.
4,Gauss Rifle,Strength,Far,1d12+12,Two-Handed,Rail Shot: Spend Stress to deal double damage dice.,Hyper-Pierce: Shot tears through multiple enemies/vehicles in a line.
4,Plasma Shotgun,Instinct,Close,1d12+12,Two-Handed,Meltdown: Spend Hope to add 1d8 burn damage.,Critical Inferno: All targets in blast zone catch fire.
4,Orbital Sniper Rifle,Knowledge,Very Far,1d12+12,Two-Handed,Satellite Link: Call in orbital fire once per rest.,Heaven’s Lance: Obliterate target zone — GM narrates consequences.
4,Annihilation Grenade,Strength,Far (Area),1d20,One-Handed,"Final Boom: Single-use, but massive radius.",Tactical Nuke (Micro): Entire area wiped — citywide consequences.
4,EMP Singularity,Tech,Far (Area),1d20,One-Handed,Blackout: Kill power grid in 1 km radius once per rest.,System Collapse: Entire Matrix zone crashes beyond repair.
