Name,Description,
Calming Pendant,"When you would mark your last Stress, roll a d6. On a result of 5 or higher, don’t mark it.",
Dual Flask,This flask can hold two different liquids. You can swap between them by flipping a small switch on the flask’s side.,
Bag of Ficklesand,"You can convince this small bag of sand to be much heavier or lighter with a successful Presence Roll (10). Additionally, on a successful Finesse Roll (10), you can blow a bit of sand into a target’s face to make them temporarily **Vulnerable**.",
Ring of Resistance,"Once per long rest, you can activate this ring after a successful attack against you to halve the damage.",
Phoenix Feather,"If you have at least one Phoenix Feather on you when you fall unconscious, you gain a +1 bonus to the roll you make to determine whether you gain a scar.",
Box of Many Goods,"Once per long rest, you can open this small box and roll a d12. On a result of 1–6, it’s empty. On a result of 7–10, it contains one random common consumable. On a result of 11–12, it contains two random common consumables.",
Airblade Charm,"You can attach this charm to a weapon with a Melee range. Three times per rest, you can activate the charm and attack a target within Close range.",
Portal Seed,You can plant this seed in the ground to grow a portal in that spot. The portal is ready to use in 24 hours. You can use this portal to travel to any other location where you planted a portal seed. A portal can be destroyed by dealing any amount of magic damage to it.,
Paragon’s Chain,"As a downtime move, you can meditate on an ideal or principle you hold dear and focus your will into this chain. Once per long rest, you can spend a Hope to roll a d20 as your Hope Die for rolls that directly align with that principle.",
Elusive Amulet,"Once per long rest, you can activate this amulet to become **Hidden** until you move. While **Hidden** in this way, you remain unseen even if an adversary moves to where they would normally see you.",
Hopekeeper Locket,"During a long rest, if you have 6 Hope, you can spend a Hope to imbue this locket with your bountiful resolve. When you have 0 Hope, you can use the locket to immediately gain a Hope. The locket must be re-imbued before it can be used this way again.",
Infinite Bag,"When you store items in this bag, they are kept in a pocket dimension that never runs out of space. You can retrieve an item at any time.",
Stride Relic,You gain a +1 bonus to your Agility. You can only carry one relic.,
Bolster Relic,You gain a +1 bonus to your Strength. You can only carry one relic.,
Control Relic,You gain a +1 bonus to your Finesse. You can only carry one relic.,
Attune Relic,You gain a +1 bonus to your Instinct. You can only carry one relic.,
Charm Relic,You gain a +1 bonus to your Presence. You can only carry one relic.,
Enlighten Relic,You gain a +1 bonus to your Knowledge. You can only carry one relic.,
Honing Relic,You gain a +1 bonus to an Experience of your choice. You can only carry one relic.,
Flickerfly Pendant,"While you carry this pendant, your weapons with a Melee range that deal physical damage have a gossamer sheen and can attack targets within Very Close range.",
Lasketider Boots,You can walk on the surface of water as if it were soft ground.,
Clay Companion,"When you sculpt this ball of clay into a clay animal companion, it behaves as that animal. For example, a clay spider can spin clay webs, while a clay bird can fly. The clay companion retains memory and identity across different shapes, but they can adopt new mannerisms with each form.",
Mythic Dust Recipe,"As a downtime move, you can use a handful of fine gold dust to craft Mythic Dust.",
Shard of Memory,"Once per long rest, you can spend 2 Hope to recall a domain card from your vault instead of paying its Recall Cost.",
Gem of Alacrity,"You can attach this gem to a weapon, allowing you to use your Agility when making an attack with that weapon.",
Gem of Might,"You can attach this gem to a weapon, allowing you to use your Strength when making an attack with that weapon.",
Gem of Precision,"You can attach this gem to a weapon, allowing you to use your Finesse when making an attack with that weapon.",
Gem of Insight,"You can attach this gem to a weapon, allowing you to use your Instinct when making an attack with that weapon.",
Gem of Audacity,"You can attach this gem to a weapon, allowing you to use your Presence when making an attack with that weapon.",
Gem of Sagacity,"You can attach this gem to a weapon, allowing you to use your Knowledge when making an attack with that weapon.",
Ring of Unbreakable Resolve,"Once per session, when the GM spends a Fear, you can spend 4 Hope to cancel the effects of that spent Fear.",
Belt of Unity,"Once per session, you can spend 5 Hope to lead a Tag Team Roll with three PCs instead of two.",
