old_name,new_name,new_description,img,effect,img-path
Companion Case,Opti Companion Case Key,"This case can fit a small animal companion. While the companion is inside, the animal and case are immune to all damage and harmful effects. black-market tech favored by runners and fixers",opti-companion-case-key,loot,modules/cybermancy/assets/icons/loot/opti-companion-case-key.webp
Piercing Arrows,Zero Piercing Arrows Patch,"Three times per rest when you succeed on an attack with one of these arrows, you can add your Proficiency to the damage roll. black-market tech favored by runners and fixers",zero-piercing-arrows-patch,loot,modules/cybermancy/assets/icons/loot/zero-piercing-arrows-patch.webp
Valorstone,Grid Valorstone Injector,"You can attach this stone to armor that doesn’t already have a feature. The armor gains the following feature. **Resilient:** Before you mark your last Armor Slot, roll a d6. On a result of 6, reduce the severity by one threshold without marking an Armor Slot.",grid-valorstone-injector,loot,modules/cybermancy/assets/icons/loot/grid-valorstone-injector.webp
Skeleton Key,Arc Intrusion Key,"When you use this key to open a locked door, you gain advantage on the Finesse Roll. black-market tech favored by runners and fixers",arc-intrusion-key,loot,modules/cybermancy/assets/icons/loot/arc-intrusion-key.webp
Arcane Prism,Grid Arcane Prism Lens,"Position this prism in a location of your choosing and activate it. All allies within Close range of it gain a +1 bonus to their Spellcast Rolls. While activated, the prism can’t be moved. Once the prism is deactivated, it can’t be activated again until your n",grid-arcane-prism-lens,loot,modules/cybermancy/assets/icons/loot/grid-arcane-prism-lens.webp
Minor Stamina Potion Recipe,Arc Nanoshot,"As a downtime move, you can use the bone of a creature to craft a Minor Stamina Potion. nanite payload delivers fast onset effects",arc-nanoshot,loot,modules/cybermancy/assets/icons/loot/arc-nanoshot.webp
Minor Health Potion Recipe,Mirror Nanoshot,"As a downtime move, you can use a vial of blood to craft a Minor Health Potion. nanite payload delivers fast onset effects",mirror-nanoshot,loot,modules/cybermancy/assets/icons/loot/mirror-nanoshot.webp
Homing Compasses,Chrome Homing Compasses Beacon,These two compasses point toward each other no matter how far apart they are. black-market tech favored by runners and fixers,chrome-homing-compasses-beacon,loot,modules/cybermancy/assets/icons/loot/chrome-homing-compasses-beacon.webp
Corrector Sprite,Mirror Corrector Sprite Mask,"This tiny sprite sits in the curve of your ear canal and whispers helpful advice during combat. Once per short rest, you can gain advantage on an attack roll. black-market tech favored by runners and fixers",mirror-corrector-sprite-mask,loot,modules/cybermancy/assets/icons/loot/mirror-corrector-sprite-mask.webp
Gecko Gloves,Chrome Haptics,You can climb up vertical surfaces and across ceilings. blends with urban spectra and sensor noise,chrome-haptics,loot,modules/cybermancy/assets/icons/loot/chrome-haptics.webp
Lorekeeper,Nano Lorekeeper Patch,You can store the name and details of up to three hostile creatures inside this book. You gain a +1 bonus to action rolls against those creatures. black-market tech favored by runners and fixers,nano-lorekeeper-patch,loot,modules/cybermancy/assets/icons/loot/nano-lorekeeper-patch.webp
Vial of Darksmoke Recipe,Grid Vial Of Driver,"As a downtime move, you can mark a Stress to craft a Vial of Darksmoke. nanite payload delivers fast onset effects",grid-vial-of-driver,loot,modules/cybermancy/assets/icons/loot/grid-vial-of-driver.webp
Bloodstone,Opti Bloodstone Injector,"You can attach this stone to a weapon that doesn’t already have a feature. The weapon gains the following feature. ***Brutal:*** When you roll the maximum value on a damage die, roll an additional damage die. stores resonance data and telemetry snapshots",opti-bloodstone-injector,loot,modules/cybermancy/assets/icons/loot/opti-bloodstone-injector.webp
Greatstone,Arc Greatstone Relay,"You can attach this stone to a weapon that doesn’t already have a feature. The weapon gains the following feature. ***Powerful:*** On a successful attack, roll an additional damage die and discard the lowest result. stores resonance data and telemetry snapshot",arc-greatstone-relay,loot,modules/cybermancy/assets/icons/loot/arc-greatstone-relay.webp
Glider,Black Glider Beacon,"While falling, you can mark a Stress to deploy this small parachute and glide safely to the ground. black-market tech favored by runners and fixers",black-glider-beacon,loot,modules/cybermancy/assets/icons/loot/black-glider-beacon.webp
Ring of Silence,Neo Circuit Ring,Spend a Hope to activate this ring. Your footsteps are silent until your next rest. cryptographic sigils route through subdermal coils,neo-circuit-ring,loot,modules/cybermancy/assets/icons/loot/neo-circuit-ring.webp
Calming Pendant,Cipher Calming Pendant Lens,"When you would mark your last Stress, roll a d6. On a result of 5 or higher, don’t mark it. black-market tech favored by runners and fixers",cipher-calming-pendant-lens,loot,modules/cybermancy/assets/icons/loot/cipher-calming-pendant-lens.webp
Dual Flask,Neo Dual Flask Driver,This flask can hold two different liquids. You can swap between them by flipping a small switch on the flask’s side. black-market tech favored by runners and fixers,neo-dual-flask-driver,loot,modules/cybermancy/assets/icons/loot/neo-dual-flask-driver.webp
Bag of Ficklesand,Nano Cache Pack,"You can convince this small bag of sand to be much heavier or lighter with a successful Presence Roll (10). Additionally, on a successful Finesse Roll (10), you can blow a bit of sand into a target’s face to make them temporarily **Vulnerable**. black-market t",nano-cache-pack,loot,modules/cybermancy/assets/icons/loot/nano-cache-pack.webp
Ring of Resistance,Flux Circuit Ring,"Once per long rest, you can activate this ring after a successful attack against you to halve the damage. cryptographic sigils route through subdermal coils",flux-circuit-ring,loot,modules/cybermancy/assets/icons/loot/flux-circuit-ring.webp
Phoenix Feather,Street Phoenix Feather Module,"If you have at least one Phoenix Feather on you when you fall unconscious, you gain a +1 bonus to the roll you make to determine whether you gain a scar. black-market tech favored by runners and fixers",street-phoenix-feather-module,loot,modules/cybermancy/assets/icons/loot/street-phoenix-feather-module.webp
Box of Many Goods,Quantum Box Of Chip,"Once per long rest, you can open this small box and roll a d12. On a result of 1–6, it’s empty. On a result of 7–10, it contains one random common consumable. On a result of 11–12, it contains two random common consumables. black-market tech favored by runners",quantum-box-of-chip,loot,modules/cybermancy/assets/icons/loot/quantum-box-of-chip.webp
Airblade Charm,Ghost Luck Patch,"You can attach this charm to a weapon with a Melee range. Three times per rest, you can activate the charm and attack a target within Close range. cryptographic sigils route through subdermal coils tuned for close-quarters in blackout zones",ghost-luck-patch,loot,modules/cybermancy/assets/icons/loot/ghost-luck-patch.webp
Portal Seed,Street Portal Seed Seal,You can plant this seed in the ground to grow a portal in that spot. The portal is ready to use in 24 hours. You can use this portal to travel to any other location where you planted a portal seed. A portal can be destroyed by dealing any amount of magic damag,street-portal-seed-seal,loot,modules/cybermancy/assets/icons/loot/street-portal-seed-seal.webp
Paragon’s Chain,Street Paragons Chain Injector,"As a downtime move, you can meditate on an ideal or principle you hold dear and focus your will into this chain. Once per long rest, you can spend a Hope to roll a d20 as your Hope Die for rolls that directly align with that principle. black-market tech favore",street-paragons-chain-injector,loot,modules/cybermancy/assets/icons/loot/street-paragons-chain-injector.webp
Elusive Amulet,Zero Quantum Amulet,"Once per long rest, you can activate this amulet to become **Hidden** until you move. While **Hidden** in this way, you remain unseen even if an adversary moves to where they would normally see you. cryptographic sigils route through subdermal coils",zero-quantum-amulet,loot,modules/cybermancy/assets/icons/loot/zero-quantum-amulet.webp
Hopekeeper Locket,Ghost Hopekeeper Locket Node,"During a long rest, if you have 6 Hope, you can spend a Hope to imbue this locket with your bountiful resolve. When you have 0 Hope, you can use the locket to immediately gain a Hope. The locket must be re-imbued before it can be used this way again. black-mar",ghost-hopekeeper-locket-node,loot,modules/cybermancy/assets/icons/loot/ghost-hopekeeper-locket-node.webp
Infinite Bag,Quantum Cache Pack,"When you store items in this bag, they are kept in a pocket dimension that never runs out of space. You can retrieve an item at any time. black-market tech favored by runners and fixers",quantum-cache-pack,loot,modules/cybermancy/assets/icons/loot/quantum-cache-pack.webp
Stride Relic,Arc Stride Relic Shard,You gain a +1 bonus to your Agility. You can only carry one relic. black-market tech favored by runners and fixers,arc-stride-relic-shard,loot,modules/cybermancy/assets/icons/loot/arc-stride-relic-shard.webp
Bolster Relic,Flux Bolster Relic Relay,You gain a +1 bonus to your Strength. You can only carry one relic. black-market tech favored by runners and fixers,flux-bolster-relic-relay,loot,modules/cybermancy/assets/icons/loot/flux-bolster-relic-relay.webp
Control Relic,Ghost Control Relic Injector,You gain a +1 bonus to your Finesse. You can only carry one relic. black-market tech favored by runners and fixers,ghost-control-relic-injector,loot,modules/cybermancy/assets/icons/loot/ghost-control-relic-injector.webp
Attune Relic,Ghost Attune Relic Mask,You gain a +1 bonus to your Instinct. You can only carry one relic. black-market tech favored by runners and fixers,ghost-attune-relic-mask,loot,modules/cybermancy/assets/icons/loot/ghost-attune-relic-mask.webp
Charm Relic,Cipher Luck Patch,You gain a +1 bonus to your Presence. You can only carry one relic. cryptographic sigils route through subdermal coils,cipher-luck-patch,loot,modules/cybermancy/assets/icons/loot/cipher-luck-patch.webp
Enlighten Relic,Synth Enlighten Relic Patch,You gain a +1 bonus to your Knowledge. You can only carry one relic. black-market tech favored by runners and fixers,synth-enlighten-relic-patch,loot,modules/cybermancy/assets/icons/loot/synth-enlighten-relic-patch.webp
Honing Relic,Opti Honing Relic Patch,You gain a +1 bonus to an Experience of your choice. You can only carry one relic. black-market tech favored by runners and fixers,opti-honing-relic-patch,loot,modules/cybermancy/assets/icons/loot/opti-honing-relic-patch.webp
Flickerfly Pendant,Chrome Flickerfly Pendant Driver,"While you carry this pendant, your weapons with a Melee range that deal physical damage have a gossamer sheen and can attack targets within Very Close range. black-market tech favored by runners and fixers",chrome-flickerfly-pendant-driver,loot,modules/cybermancy/assets/icons/loot/chrome-flickerfly-pendant-driver.webp
Lasketider Boots,Mirror Grav Boots,You can walk on the surface of water as if it were soft ground. blends with urban spectra and sensor noise,mirror-grav-boots,loot,modules/cybermancy/assets/icons/loot/mirror-grav-boots.webp
Clay Companion,Ghost Clay Companion Relay,"When you sculpt this ball of clay into a clay animal companion, it behaves as that animal. For example, a clay spider can spin clay webs, while a clay bird can fly. The clay companion retains memory and identity across different shapes, but they can adopt new ",ghost-clay-companion-relay,loot,modules/cybermancy/assets/icons/loot/ghost-clay-companion-relay.webp
Mythic Dust Recipe,Street Mythic Dust Cache,"As a downtime move, you can use a handful of fine gold dust to craft Mythic Dust. black-market tech favored by runners and fixers",street-mythic-dust-cache,loot,modules/cybermancy/assets/icons/loot/street-mythic-dust-cache.webp
Shard of Memory,Cipher Shard Of Node,"Once per long rest, you can spend 2 Hope to recall a domain card from your vault instead of paying its Recall Cost. black-market tech favored by runners and fixers",cipher-shard-of-node,loot,modules/cybermancy/assets/icons/loot/cipher-shard-of-node.webp
Gem of Alacrity,Street Data Gem,"You can attach this gem to a weapon, allowing you to use your Agility when making an attack with that weapon. stores resonance data and telemetry snapshots",street-data-gem,loot,modules/cybermancy/assets/icons/loot/street-data-gem.webp
Gem of Might,Synth Data Gem,"You can attach this gem to a weapon, allowing you to use your Strength when making an attack with that weapon. stores resonance data and telemetry snapshots",synth-data-gem,loot,modules/cybermancy/assets/icons/loot/synth-data-gem.webp
Gem of Precision,Nano Data Gem,"You can attach this gem to a weapon, allowing you to use your Finesse when making an attack with that weapon. stores resonance data and telemetry snapshots",nano-data-gem,loot,modules/cybermancy/assets/icons/loot/nano-data-gem.webp
Gem of Insight,Patterned Data Gem,"You can attach this gem to a weapon, allowing you to use your Instinct when making an attack with that weapon. stores resonance data and telemetry snapshots",arc-data-gem,loot,modules/cybermancy/assets/icons/loot/arc-data-gem.webp
Gem of Audacity,Arc Data Gem,"You can attach this gem to a weapon, allowing you to use your Presence when making an attack with that weapon. stores resonance data and telemetry snapshots",arc-data-gem,loot,modules/cybermancy/assets/icons/loot/arc-data-gem.webp
Gem of Sagacity,Chrome Data Gem,"You can attach this gem to a weapon, allowing you to use your Knowledge when making an attack with that weapon. stores resonance data and telemetry snapshots",chrome-data-gem,loot,modules/cybermancy/assets/icons/loot/chrome-data-gem.webp
Ring of Unbreakable Resolve,Mirror Circuit Ring,"Once per session, when the GM spends a Fear, you can spend 4 Hope to cancel the effects of that spent Fear. cryptographic sigils route through subdermal coils",mirror-circuit-ring,loot,modules/cybermancy/assets/icons/loot/mirror-circuit-ring.webp
Belt of Unity,Synth Utility Belt,"Once per session, you can spend 5 Hope to lead a Tag Team Roll with three PCs instead of two. blends with urban spectra and sensor noise",synth-utility-belt,loot,modules/cybermancy/assets/icons/loot/synth-utility-belt.webp
